Colorado, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,58.8,1.5
189609,56.5,-0.8
189709,60.8,3.5
189809,55.5,-1.8
189909,58.6,1.3
190009,55.7,-1.6
190109,56.5,-0.8
190209,55.5,-1.8
190309,54.8,-2.5
190409,57.4,0.1
190509,58.4,1.1
190609,56.1,-1.2
190709,57.1,-0.2
190809,58.2,0.9
190909,56.2,-1.1
191009,59.4,2.1
191109,59.5,2.2
191209,51,-6.3
191309,54,-3.3
191409,58.7,1.4
191509,56.1,-1.2
191609,55.4,-1.9
191709,57.4,0.1
191809,54.8,-2.5
191909,59.8,2.5
192009,56,-1.3
192109,58.1,0.8
192209,59.6,2.3
192309,54.8,-2.5
192409,55.6,-1.7
192509,57.6,0.3
192609,57,-0.3
192709,56.2,-1.1
192809,56.8,-0.5
192909,54.6,-2.7
193009,56.7,-0.6
193109,60.7,3.4
193209,57,-0.3
193309,61.1,3.8
193409,55.5,-1.8
193509,57.8,0.5
193609,57.3,0.0
193709,59.4,2.1
193809,58.6,1.3
193909,60.4,3.1
194009,59.5,2.2
194109,55.6,-1.7
194209,56.3,-1.0
194309,57.4,0.1
194409,57.9,0.6
194509,56,-1.3
194609,58,0.7
194709,60.2,2.9
194809,60.6,3.3
194909,57.8,0.5
195009,55.8,-1.5
195109,56.4,-0.9
195209,59,1.7
195309,59.3,2.0
195409,60.1,2.8
195509,58.6,1.3
195609,59.7,2.4
195709,55.3,-2.0
195809,58.8,1.5
195909,55.7,-1.6
196009,59.4,2.1
196109,52.5,-4.8
196209,57.5,0.2
196309,60.9,3.6
196409,56.9,-0.4
196509,51.9,-5.4
196609,58,0.7
196709,56.9,-0.4
196809,55.5,-1.8
196909,58.8,1.5
197009,54.9,-2.4
197109,53.8,-3.5
197209,57,-0.3
197309,54.8,-2.5
197409,55.1,-2.2
197509,55.6,-1.7
197609,56.9,-0.4
197709,59.7,2.4
197809,58.4,1.1
197909,60,2.7
198009,58.6,1.3
198109,59.5,2.2
198209,57.3,0.0
198309,60.2,2.9
198409,57,-0.3
198509,54.3,-3.0
198609,55.2,-2.1
198709,56.7,-0.6
198809,56.3,-1.0
198909,57.6,0.3
199009,61.2,3.9
199109,57.5,0.2
199209,58.6,1.3
199309,55.3,-2.0
199409,59.1,1.8
199509,57.5,0.2
199609,55.7,-1.6
199709,59.8,2.5
199809,62.5,5.2
199909,55.4,-1.9
200009,59.5,2.2
200109,60.3,3.0
200209,58.4,1.1
200309,56.7,-0.6
200409,57.7,0.4
200509,60.2,2.9
200609,53.5,-3.8
200709,59.7,2.4
200809,57.3,0.0
200909,57.6,0.3
201009,61.2,3.9
201109,58.5,1.2
201209,59.5,2.2
201309,60.7,3.4
201409,60,2.7
201509,62.6,5.3
