Connecticut, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,67.5,2.1
189606,63.3,-2.1
189706,61.6,-3.8
189806,65.9,0.5
189906,67.6,2.2
190006,66,0.6
190106,66.2,0.8
190206,63.3,-2.1
190306,59.3,-6.1
190406,63.9,-1.5
190506,63.8,-1.6
190606,65.5,0.1
190706,62,-3.4
190806,67.2,1.8
190906,66.4,1.0
191006,63.4,-2.0
191106,64.4,-1.0
191206,64,-1.4
191306,65.2,-0.2
191406,64,-1.4
191506,63.7,-1.7
191606,60.9,-4.5
191706,65,-0.4
191806,62.3,-3.1
191906,67,1.6
192006,63.6,-1.8
192106,65.9,0.5
192206,66.9,1.5
192306,67.2,1.8
192406,63.3,-2.1
192506,69.4,4.0
192606,61.5,-3.9
192706,62.1,-3.3
192806,62.8,-2.6
192906,66.2,0.8
193006,68.6,3.2
193106,65.7,0.3
193206,65,-0.4
193306,67.4,2.0
193406,67.8,2.4
193506,65,-0.4
193606,65.4,0.0
193706,66.4,1.0
193806,65.4,0.0
193906,65.7,0.3
194006,63.8,-1.6
194106,66.2,0.8
194206,66.2,0.8
194306,70.2,4.8
194406,66.2,0.8
194506,66.1,0.7
194606,64.4,-1.0
194706,63.3,-2.1
194806,64.1,-1.3
194906,69,3.6
195006,65.2,-0.2
195106,64.5,-0.9
195206,67.5,2.1
195306,66.7,1.3
195406,66.1,0.7
195506,64,-1.4
195606,66.8,1.4
195706,69,3.6
195806,60.9,-4.5
195906,64.7,-0.7
196006,65.8,0.4
196106,66,0.6
196206,66.2,0.8
196306,65.6,0.2
196406,64.6,-0.8
196506,64.7,-0.7
196606,66.5,1.1
196706,66.7,1.3
196806,64.3,-1.1
196906,66,0.6
197006,64.8,-0.6
197106,66.6,1.2
197206,63.3,-2.1
197306,68.2,2.8
197406,64.5,-0.9
197506,65.4,0.0
197606,68.7,3.3
197706,63.9,-1.5
197806,65.2,-0.2
197906,64.6,-0.8
198006,63.4,-2.0
198106,66.7,1.3
198206,62.6,-2.8
198306,67.2,1.8
198406,67.7,2.3
198506,62.4,-3.0
198606,64.4,-1.0
198706,67.3,1.9
198806,65.4,0.0
198906,66.9,1.5
199006,66.5,1.1
199106,68,2.6
199206,64.3,-1.1
199306,66.3,0.9
199406,68.8,3.4
199506,67.1,1.7
199606,67.1,1.7
199706,66.3,0.9
199806,65.2,-0.2
199906,68.8,3.4
200006,66,0.6
200106,68.1,2.7
200206,65.5,0.1
200306,64.7,-0.7
200406,65.1,-0.3
200506,69.6,4.2
200606,67.1,1.7
200706,66.6,1.2
200806,68.7,3.3
200906,64,-1.4
201006,68.9,3.5
201106,66.9,1.5
201206,66.4,1.0
201306,67.7,2.3
201406,66.8,1.4
201506,65.2,-0.2
