North Carolina, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,74.6,1.0
189606,73.5,-0.1
189706,74.8,1.2
189806,75,1.4
189906,75.7,2.1
190006,74.3,0.7
190106,73.6,0.0
190206,74.3,0.7
190306,70.1,-3.5
190406,73.2,-0.4
190506,74.2,0.6
190606,74.5,0.9
190706,69.6,-4.0
190806,72.5,-1.1
190906,75.2,1.6
191006,70.8,-2.8
191106,76.1,2.5
191206,71.8,-1.8
191306,73,-0.6
191406,77,3.4
191506,71.5,-2.1
191606,71.8,-1.8
191706,72.9,-0.7
191806,72.6,-1.0
191906,73.2,-0.4
192006,73,-0.6
192106,75.2,1.6
192206,74.9,1.3
192306,75.1,1.5
192406,74.8,1.2
192506,76.7,3.1
192606,72.9,-0.7
192706,71.3,-2.3
192806,73,-0.6
192906,72,-1.6
193006,72.3,-1.3
193106,74.2,0.6
193206,74.6,1.0
193306,75.5,1.9
193406,76.3,2.7
193506,74.6,1.0
193606,73.9,0.3
193706,75.8,2.2
193806,72.1,-1.5
193906,77.3,3.7
194006,75.4,1.8
194106,74.1,0.5
194206,75.9,2.3
194306,78.3,4.7
194406,76.8,3.2
194506,74.8,1.2
194606,73,-0.6
194706,72.7,-0.9
194806,74.4,0.8
194906,74.6,1.0
195006,74,0.4
195106,74.3,0.7
195206,78.6,5.0
195306,74.3,0.7
195406,74.4,0.8
195506,69.5,-4.1
195606,73.9,0.3
195706,74.9,1.3
195806,72.7,-0.9
195906,73.3,-0.3
196006,73.6,0.0
196106,71.5,-2.1
196206,72.4,-1.2
196306,72,-1.6
196406,74.4,0.8
196506,70.9,-2.7
196606,70.8,-2.8
196706,70.2,-3.4
196806,72.9,-0.7
196906,74.8,1.2
197006,73.1,-0.5
197106,74.6,1.0
197206,69.3,-4.3
197306,74.1,0.5
197406,70.5,-3.1
197506,73.2,-0.4
197606,71.6,-2.0
197706,72.5,-1.1
197806,73.4,-0.2
197906,69.8,-3.8
198006,72.2,-1.4
198106,77.1,3.5
198206,72.6,-1.0
198306,71.7,-1.9
198406,74.4,0.8
198506,73.7,0.1
198606,75.9,2.3
198706,74.8,1.2
198806,72,-1.6
198906,75.1,1.5
199006,73.7,0.1
199106,74,0.4
199206,70.5,-3.1
199306,74.4,0.8
199406,75.5,1.9
199506,72.2,-1.4
199606,73.9,0.3
199706,70.3,-3.3
199806,75.9,2.3
199906,72.4,-1.2
200006,75,1.4
200106,74.3,0.7
200206,75.2,1.6
200306,72.5,-1.1
200406,74.4,0.8
200506,73.5,-0.1
200606,73.1,-0.5
200706,74.1,0.5
200806,77.1,3.5
200906,75.1,1.5
201006,78.8,5.2
201106,77,3.4
201206,72.3,-1.3
201306,74.3,0.7
201406,75.2,1.6
201506,77.3,3.7
