Kentucky, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,37.1,0.9
189612,38,1.8
189712,37,0.8
189812,32.7,-3.5
189912,33.6,-2.6
190012,37.2,1.0
190112,31.3,-4.9
190212,35.6,-0.6
190312,29.4,-6.8
190412,35,-1.2
190512,36,-0.2
190612,38.1,1.9
190712,37.3,1.1
190812,38.8,2.6
190912,29,-7.2
191012,30.2,-6.0
191112,40.5,4.3
191212,36,-0.2
191312,38.7,2.5
191412,31.7,-4.5
191512,35.7,-0.5
191612,34.3,-1.9
191712,25.9,-10.3
191812,43.3,7.1
191912,33.2,-3.0
192012,37.4,1.2
192112,40,3.8
192212,40.3,4.1
192312,45.1,8.9
192412,34.6,-1.6
192512,33.5,-2.7
192612,36.3,0.1
192712,35.7,-0.5
192812,37.8,1.6
192912,37.3,1.1
193012,33.7,-2.5
193112,44.6,8.4
193212,36.7,0.5
193312,42.5,6.3
193412,35.4,-0.8
193512,28.6,-7.6
193612,39.3,3.1
193712,34.3,-1.9
193812,36.5,0.3
193912,37.8,1.6
194012,41.5,5.3
194112,41.1,4.9
194212,34.8,-1.4
194312,33.7,-2.5
194412,31.5,-4.7
194512,30.5,-5.7
194612,41,4.8
194712,36.6,0.4
194812,39.2,3.0
194912,39.7,3.5
195012,30.4,-5.8
195112,38.2,2.0
195212,38.2,2.0
195312,35.5,-0.7
195412,35.6,-0.6
195512,33.9,-2.3
195612,44.3,8.1
195712,40.5,4.3
195812,30,-6.2
195912,38.7,2.5
196012,29.8,-6.4
196112,36.1,-0.1
196212,31,-5.2
196312,25.7,-10.5
196412,37.9,1.7
196512,39.9,3.7
196612,35.5,-0.7
196712,39.2,3.0
196812,34.1,-2.1
196912,31.8,-4.4
197012,39.5,3.3
197112,44.8,8.6
197212,38.6,2.4
197312,36.6,0.4
197412,37.1,0.9
197512,37.3,1.1
197612,31.8,-4.4
197712,33.8,-2.4
197812,37.5,1.3
197912,37.9,1.7
198012,36.8,0.6
198112,33.2,-3.0
198212,43.9,7.7
198312,29.1,-7.1
198412,44.9,8.7
198512,30.5,-5.7
198612,36.2,0.0
198712,39.2,3.0
198812,37,0.8
198912,24.9,-11.3
199012,40.2,4.0
199112,40.3,4.1
199212,36.5,0.3
199312,35.9,-0.3
199412,41.1,4.9
199512,33.9,-2.3
199612,40.3,4.1
199712,36.6,0.4
199812,40.7,4.5
199912,38.7,2.5
200012,26.7,-9.5
200112,41.8,5.6
200212,36.5,0.3
200312,37,0.8
200412,36.4,0.2
200512,33.3,-2.9
200612,41.6,5.4
200712,40.7,4.5
200812,36.7,0.5
200912,35.6,-0.6
201012,29,-7.2
201112,41.1,4.9
201212,43,6.8
201312,37.4,1.2
201412,39.7,3.5
201512,48.7,12.5
