Georgia, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,45.2,-1.9
189612,46.2,-0.9
189712,48.3,1.2
189812,45.6,-1.5
189912,45.1,-2.0
190012,46.7,-0.4
190112,43.1,-4.0
190212,46.6,-0.5
190312,41,-6.1
190412,46.5,-0.6
190512,43.7,-3.4
190612,48.1,1.0
190712,45.7,-1.4
190812,50.9,3.8
190912,41.8,-5.3
191012,41.1,-6.0
191112,49.4,2.3
191212,48.4,1.3
191312,47.9,0.8
191412,44.1,-3.0
191512,44.6,-2.5
191612,46.9,-0.2
191712,39,-8.1
191812,50.1,3.0
191912,47.1,0.0
192012,45.5,-1.6
192112,51.1,4.0
192212,52.7,5.6
192312,53.4,6.3
192412,48.5,1.4
192512,45,-2.1
192612,50.5,3.4
192712,46.6,-0.5
192812,46.9,-0.2
192912,45.1,-2.0
193012,42,-5.1
193112,55.5,8.4
193212,51.7,4.6
193312,53.9,6.8
193412,45.3,-1.8
193512,39.3,-7.8
193612,49,1.9
193712,45.4,-1.7
193812,46,-1.1
193912,47.6,0.5
194012,50.3,3.2
194112,49.3,2.2
194212,47.4,0.3
194312,46.4,-0.7
194412,43.4,-3.7
194512,41.1,-6.0
194612,50.3,3.2
194712,47.2,0.1
194812,50.4,3.3
194912,49,1.9
195012,41.9,-5.2
195112,50.2,3.1
195212,45.2,-1.9
195312,46.5,-0.6
195412,45.1,-2.0
195512,45.6,-1.5
195612,54.5,7.4
195712,47.3,0.2
195812,44.3,-2.8
195912,47.3,0.2
196012,42,-5.1
196112,47.6,0.5
196212,43.8,-3.3
196312,39.4,-7.7
196412,49.8,2.7
196512,47.3,0.2
196612,46.4,-0.7
196712,51.4,4.3
196812,43.5,-3.6
196912,44.1,-3.0
197012,49.8,2.7
197112,55.6,8.5
197212,52.1,5.0
197312,47.1,0.0
197412,47.4,0.3
197512,46.6,-0.5
197612,43.6,-3.5
197712,45.8,-1.3
197812,48.4,1.3
197912,46.8,-0.3
198012,45.7,-1.4
198112,43.8,-3.3
198212,53.2,6.1
198312,44.2,-2.9
198412,55.1,8.0
198512,44,-3.1
198612,48.3,1.2
198712,50.9,3.8
198812,47.3,0.2
198912,40.5,-6.6
199012,51.6,4.5
199112,51,3.9
199212,47.3,0.2
199312,45.7,-1.4
199412,50.5,3.4
199512,45.3,-1.8
199612,49.2,2.1
199712,47.2,0.1
199812,53,5.9
199912,47.9,0.8
200012,40.6,-6.5
200112,52.9,5.8
200212,45.7,-1.4
200312,44.3,-2.8
200412,46.8,-0.3
200512,44.8,-2.3
200612,51.9,4.8
200712,52.9,5.8
200812,51.7,4.6
200912,46.2,-0.9
201012,39.9,-7.2
201112,51.3,4.2
201212,52.1,5.0
201312,51.2,4.1
201412,51.3,4.2
201512,58.6,11.5
