Washington, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,50.4,-1.4
189605,48.4,-3.4
189705,55.9,4.1
189805,52.2,0.4
189905,47.6,-4.2
190005,52.7,0.9
190105,52.3,0.5
190205,51.8,0.0
190305,50.7,-1.1
190405,50.7,-1.1
190505,50.7,-1.1
190605,51.6,-0.2
190705,53.4,1.6
190805,49,-2.8
190905,49.5,-2.3
191005,54.5,2.7
191105,49.1,-2.7
191205,53.1,1.3
191305,51.1,-0.7
191405,54.1,2.3
191505,51.8,0.0
191605,48.1,-3.7
191705,49.9,-1.9
191805,49.3,-2.5
191905,50.7,-1.1
192005,48.2,-3.6
192105,51.6,-0.2
192205,50.4,-1.4
192305,51.3,-0.5
192405,56.2,4.4
192505,54.7,2.9
192605,51.8,0.0
192705,48.5,-3.3
192805,55.6,3.8
192905,51.6,-0.2
193005,50.5,-1.3
193105,55.1,3.3
193205,51,-0.8
193305,47.8,-4.0
193405,54.8,3.0
193505,51.4,-0.4
193605,55.7,3.9
193705,52.1,0.3
193805,52.4,0.6
193905,53.4,1.6
194005,55.2,3.4
194105,51.9,0.1
194205,50.6,-1.2
194305,48.9,-2.9
194405,52.3,0.5
194505,53.2,1.4
194605,54.3,2.5
194705,56.2,4.4
194805,50.1,-1.7
194905,55,3.2
195005,49.3,-2.5
195105,52.1,0.3
195205,52.6,0.8
195305,50.2,-1.6
195405,52.1,0.3
195505,47.7,-4.1
195605,54.9,3.1
195705,55.7,3.9
195805,58.2,6.4
195905,49.2,-2.6
196005,49.2,-2.6
196105,51.3,-0.5
196205,48.3,-3.5
196305,52.1,0.3
196405,49.6,-2.2
196505,49.7,-2.1
196605,52.6,0.8
196705,51,-0.8
196805,51.7,-0.1
196905,54.6,2.8
197005,51.4,-0.4
197105,52.8,1.0
197205,53.6,1.8
197305,52.9,1.1
197405,48.3,-3.5
197505,50.7,-1.1
197605,51.3,-0.5
197705,48.7,-3.1
197805,49.8,-2.0
197905,53.1,1.3
198005,52,0.2
198105,51.1,-0.7
198205,50.7,-1.1
198305,54.1,2.3
198405,48.2,-3.6
198505,53,1.2
198605,52.3,0.5
198705,54.3,2.5
198805,51.6,-0.2
198905,51.4,-0.4
199005,50.6,-1.2
199105,50.1,-1.7
199205,56,4.2
199305,57,5.2
199405,54.1,2.3
199505,54.6,2.8
199605,48.2,-3.6
199705,54.5,2.7
199805,52.9,1.1
199905,48.5,-3.3
200005,51.1,-0.7
200105,53.1,1.3
200205,49.7,-2.1
200305,51.3,-0.5
200405,52.4,0.6
200505,54.7,2.9
200605,53,1.2
200705,52.9,1.1
200805,53.1,1.3
200905,52.3,0.5
201005,48.7,-3.1
201105,48.6,-3.2
201205,50.9,-0.9
201305,53.5,1.7
201405,54.3,2.5
201505,56,4.2
