Kansas, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,72,3.4
189609,65.3,-3.3
189709,72.8,4.2
189809,68.2,-0.4
189909,68.2,-0.4
190009,69.5,0.9
190109,68.1,-0.5
190209,63.3,-5.3
190309,66,-2.6
190409,69,0.4
190509,70.6,2.0
190609,68.7,0.1
190709,69,0.4
190809,69.4,0.8
190909,68.9,0.3
191009,69.5,0.9
191109,73.6,5.0
191209,65.1,-3.5
191309,66.7,-1.9
191409,71.4,2.8
191509,68,-0.6
191609,67,-1.6
191709,68.2,-0.4
191809,62.9,-5.7
191909,71.5,2.9
192009,68.6,0.0
192109,72.8,4.2
192209,72.4,3.8
192309,68.7,0.1
192409,64.8,-3.8
192509,71.7,3.1
192609,68.4,-0.2
192709,69.1,0.5
192809,66.8,-1.8
192909,66.2,-2.4
193009,70.1,1.5
193109,76.7,8.1
193209,67.6,-1.0
193309,73.4,4.8
193409,65.1,-3.5
193509,68.2,-0.4
193609,71.5,2.9
193709,70.5,1.9
193809,71.4,2.8
193909,74.7,6.1
194009,69.7,1.1
194109,70.2,1.6
194209,65.9,-2.7
194309,66.8,-1.8
194409,68.3,-0.3
194509,68.4,-0.2
194609,68.1,-0.5
194709,73.3,4.7
194809,71.2,2.6
194909,64.6,-4.0
195009,65.9,-2.7
195109,64.5,-4.1
195209,70.1,1.5
195309,71.4,2.8
195409,74.5,5.9
195509,71.1,2.5
195609,72.2,3.6
195709,64.9,-3.7
195809,69.7,1.1
195909,67.5,-1.1
196009,70.2,1.6
196109,64,-4.6
196209,65.9,-2.7
196309,71.2,2.6
196409,68.3,-0.3
196509,64.7,-3.9
196609,66.3,-2.3
196709,65.1,-3.5
196809,67.2,-1.4
196909,69.2,0.6
197009,67.5,-1.1
197109,68.1,-0.5
197209,68.6,0.0
197309,65.1,-3.5
197409,61.7,-6.9
197509,64.9,-3.7
197609,68,-0.6
197709,70,1.4
197809,72.2,3.6
197909,69.9,1.3
198009,70.9,2.3
198109,68.9,0.3
198209,68.4,-0.2
198309,71.1,2.5
198409,66.8,-1.8
198509,66.6,-2.0
198609,70.4,1.8
198709,67.5,-1.1
198809,68.5,-0.1
198909,64.5,-4.1
199009,71.9,3.3
199109,68.3,-0.3
199209,67.9,-0.7
199309,63.5,-5.1
199409,68,-0.6
199509,66.2,-2.4
199609,65,-3.6
199709,69.9,1.3
199809,74.4,5.8
199909,65.4,-3.2
200009,71.1,2.5
200109,67.9,-0.7
200209,70.4,1.8
200309,65.1,-3.5
200409,70.8,2.2
200509,72.2,3.6
200609,64.5,-4.1
200709,70.5,1.9
200809,66.4,-2.2
200909,65.3,-3.3
201009,70.8,2.2
201109,66.2,-2.4
201209,68.2,-0.4
201309,72.1,3.5
201409,68.3,-0.3
201509,74.2,5.6
