West Virginia, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,26.5,-4.1
189601,30.5,-0.1
189701,27,-3.6
189801,34.4,3.8
189901,30,-0.6
190001,32.4,1.8
190101,31.7,1.1
190201,28.7,-1.9
190301,29.5,-1.1
190401,25.9,-4.7
190501,25.2,-5.4
190601,35.9,5.3
190701,37.5,6.9
190801,28.9,-1.7
190901,35.5,4.9
191001,30.9,0.3
191101,35.7,5.1
191201,22.2,-8.4
191301,39,8.4
191401,33.7,3.1
191501,30.2,-0.4
191601,37.4,6.8
191701,32.2,1.6
191801,19.3,-11.3
191901,32.1,1.5
192001,27.5,-3.1
192101,33.5,2.9
192201,28.7,-1.9
192301,33.6,3.0
192401,28.5,-2.1
192501,29.9,-0.7
192601,28.4,-2.2
192701,30.9,0.3
192801,30.2,-0.4
192901,29.9,-0.7
193001,32.4,1.8
193101,31.8,1.2
193201,41.7,11.1
193301,37.8,7.2
193401,34.9,4.3
193501,31.4,0.8
193601,24.8,-5.8
193701,40.9,10.3
193801,31.4,0.8
193901,34.2,3.6
194001,18.5,-12.1
194101,30.6,0.0
194201,28.8,-1.8
194301,33.7,3.1
194401,31.1,0.5
194501,26.7,-3.9
194601,32.7,2.1
194701,37.1,6.5
194801,22.4,-8.2
194901,39.7,9.1
195001,42.9,12.3
195101,33.3,2.7
195201,36.6,6.0
195301,36.3,5.7
195401,32,1.4
195501,28.6,-2.0
195601,27.2,-3.4
195701,28.4,-2.2
195801,27.1,-3.5
195901,28.3,-2.3
196001,33,2.4
196101,24.4,-6.2
196201,29.1,-1.5
196301,24.9,-5.7
196401,30.7,0.1
196501,30,-0.6
196601,24.5,-6.1
196701,34.1,3.5
196801,25,-5.6
196901,27.7,-2.9
197001,23.2,-7.4
197101,26.4,-4.2
197201,33.3,2.7
197301,31.1,0.5
197401,39.3,8.7
197501,33.6,3.0
197601,27.2,-3.4
197701,16.1,-14.5
197801,21.7,-8.9
197901,25.4,-5.2
198001,30.9,0.3
198101,24,-6.6
198201,25.1,-5.5
198301,30.4,-0.2
198401,26.1,-4.5
198501,23.9,-6.7
198601,28.7,-1.9
198701,29.3,-1.3
198801,26.4,-4.2
198901,36.8,6.2
199001,38,7.4
199101,32.6,2.0
199201,32.1,1.5
199301,36.3,5.7
199401,24,-6.6
199501,32.4,1.8
199601,29.5,-1.1
199701,30.7,0.1
199801,37.7,7.1
199901,34.5,3.9
200001,29.5,-1.1
200101,29.4,-1.2
200201,35,4.4
200301,25.5,-5.1
200401,27.5,-3.1
200501,34.5,3.9
200601,39.4,8.8
200701,35.5,4.9
200801,30.8,0.2
200901,27.2,-3.4
201001,27.7,-2.9
201101,27.1,-3.5
201201,34.9,4.3
201301,33.9,3.3
201401,23.5,-7.1
201501,28.7,-1.9
