California, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,65.7,-2.8
189609,66.4,-2.1
189709,67.2,-1.3
189809,68.1,-0.4
189909,70.5,2.0
190009,63.8,-4.7
190109,65.1,-3.4
190209,69,0.5
190309,66.9,-1.6
190409,68.7,0.2
190509,68,-0.5
190609,68,-0.5
190709,65.1,-3.4
190809,67.3,-1.2
190909,67.4,-1.1
191009,67.4,-1.1
191109,64.1,-4.4
191209,65.8,-2.7
191309,70.1,1.6
191409,66.3,-2.2
191509,66.4,-2.1
191609,66.8,-1.7
191709,68.7,0.2
191809,68,-0.5
191909,66.9,-1.6
192009,66.1,-2.4
192109,66.8,-1.7
192209,71.3,2.8
192309,68.7,0.2
192409,68.3,-0.2
192509,63.9,-4.6
192609,65.4,-3.1
192709,64.9,-3.6
192809,68.9,0.4
192909,67.1,-1.4
193009,65,-3.5
193109,66.5,-2.0
193209,70.9,2.4
193309,66.7,-1.8
193409,69.4,0.9
193509,70.2,1.7
193609,69,0.5
193709,69.9,1.4
193809,70.4,1.9
193909,69.1,0.6
194009,66.6,-1.9
194109,64.9,-3.6
194209,67.5,-1.0
194309,71.3,2.8
194409,69.7,1.2
194509,69.8,1.3
194609,68.6,0.1
194709,70.8,2.3
194809,68.3,-0.2
194909,70.2,1.7
195009,67.7,-0.8
195109,70.7,2.2
195209,70.6,2.1
195309,71,2.5
195409,67.4,-1.1
195509,69.3,0.8
195609,70.3,1.8
195709,69.3,0.8
195809,70.4,1.9
195909,67.2,-1.3
196009,70.8,2.3
196109,66.6,-1.9
196209,69.6,1.1
196309,70.7,2.2
196409,66.9,-1.6
196509,64.7,-3.8
196609,69,0.5
196709,70.8,2.3
196809,69.1,0.6
196909,70.9,2.4
197009,67.7,-0.8
197109,68.5,0.0
197209,66.6,-1.9
197309,67.5,-1.0
197409,71.8,3.3
197509,71,2.5
197609,68,-0.5
197709,67.8,-0.7
197809,66.7,-1.8
197909,72.2,3.7
198009,68.6,0.1
198109,70.4,1.9
198209,67.1,-1.4
198309,71,2.5
198409,72.2,3.7
198509,64.4,-4.1
198609,63.5,-5.0
198709,69.8,1.3
198809,69.4,0.9
198909,68.1,-0.4
199009,69.9,1.4
199109,72.2,3.7
199209,70.8,2.3
199309,69.5,1.0
199409,69.9,1.4
199509,71.2,2.7
199609,68.4,-0.1
199709,70.8,2.3
199809,69.2,0.7
199909,70.7,2.2
200009,69.1,0.6
200109,71.2,2.7
200209,70.9,2.4
200309,72.9,4.4
200409,69.4,0.9
200509,66.9,-1.6
200609,69.5,1.0
200709,67.5,-1.0
200809,71.8,3.3
200909,73,4.5
201009,70.4,1.9
201109,72.3,3.8
201209,73.1,4.6
201309,69.3,0.8
201409,72.2,3.7
201509,72.3,3.8
