Mississippi, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,78.4,0.1
189606,78.4,0.1
189706,80.8,2.5
189806,80.5,2.2
189906,79.8,1.5
190006,77.3,-1.0
190106,80.2,1.9
190206,81.3,3.0
190306,73.8,-4.5
190406,78.5,0.2
190506,79.6,1.3
190606,79.4,1.1
190706,76.5,-1.8
190806,78.5,0.2
190906,78.6,0.3
191006,75.9,-2.4
191106,81.4,3.1
191206,75.1,-3.2
191306,78,-0.3
191406,83.3,5.0
191506,78.8,0.5
191606,77.2,-1.1
191706,78.1,-0.2
191806,81,2.7
191906,77.9,-0.4
192006,77,-1.3
192106,80,1.7
192206,79,0.7
192306,77.1,-1.2
192406,80.6,2.3
192506,81,2.7
192606,78.2,-0.1
192706,78.5,0.2
192806,76.7,-1.6
192906,77.8,-0.5
193006,77.4,-0.9
193106,79,0.7
193206,79.9,1.6
193306,78.2,-0.1
193406,80.2,1.9
193506,76.6,-1.7
193606,80.9,2.6
193706,79.6,1.3
193806,77.2,-1.1
193906,79.1,0.8
194006,76.7,-1.6
194106,78.6,0.3
194206,78.7,0.4
194306,81.7,3.4
194406,80.8,2.5
194506,78.2,-0.1
194606,76.4,-1.9
194706,78,-0.3
194806,79.8,1.5
194906,78.7,0.4
195006,78,-0.3
195106,78.9,0.6
195206,82.5,4.2
195306,83,4.7
195406,80.2,1.9
195506,74.7,-3.6
195606,76.7,-1.6
195706,78.7,0.4
195806,78.2,-0.1
195906,77.1,-1.2
196006,78.6,0.3
196106,74.8,-3.5
196206,77.5,-0.8
196306,79,0.7
196406,78.9,0.6
196506,77.3,-1.0
196606,75.9,-2.4
196706,77.9,-0.4
196806,78.4,0.1
196906,78.5,0.2
197006,76.9,-1.4
197106,79.1,0.8
197206,77.1,-1.2
197306,78.6,0.3
197406,74.3,-4.0
197506,77.1,-1.2
197606,75.2,-3.1
197706,80.5,2.2
197806,78.6,0.3
197906,76.5,-1.8
198006,78.7,0.4
198106,80.3,2.0
198206,77.4,-0.9
198306,75.3,-3.0
198406,77.8,-0.5
198506,78.5,0.2
198606,79.5,1.2
198706,77.7,-0.6
198806,77.7,-0.6
198906,76.6,-1.7
199006,79,0.7
199106,78.4,0.1
199206,76.1,-2.2
199306,78.3,0.0
199406,79,0.7
199506,76,-2.3
199606,77.6,-0.7
199706,76.1,-2.2
199806,81.6,3.3
199906,78.4,0.1
200006,78.1,-0.2
200106,76.6,-1.7
200206,77.8,-0.5
200306,76.6,-1.7
200406,77.5,-0.8
200506,77.7,-0.6
200606,78.6,0.3
200706,79.2,0.9
200806,79.2,0.9
200906,80.2,1.9
201006,82.2,3.9
201106,82.2,3.9
201206,78.2,-0.1
201306,78.9,0.6
201406,78.6,0.3
201506,79.1,0.8
