Kansas, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,65.2,1.8
189605,68.2,4.8
189705,63.4,0.0
189805,61.7,-1.7
189905,66,2.6
190005,64.7,1.3
190105,62.5,-0.9
190205,67.4,4.0
190305,61.2,-2.2
190405,62,-1.4
190505,62,-1.4
190605,64.2,0.8
190705,57.5,-5.9
190805,62.8,-0.6
190905,61.4,-2.0
191005,59.4,-4.0
191105,65.6,2.2
191205,65.8,2.4
191305,66.2,2.8
191405,63.4,0.0
191505,59.4,-4.0
191605,63.3,-0.1
191705,56.7,-6.7
191805,66.6,3.2
191905,61,-2.4
192005,62.4,-1.0
192105,64.9,1.5
192205,63.6,0.2
192305,60.7,-2.7
192405,57.5,-5.9
192505,62.4,-1.0
192605,65.6,2.2
192705,64.9,1.5
192805,64.2,0.8
192905,60.7,-2.7
193005,61.9,-1.5
193105,59.9,-3.5
193205,65,1.6
193305,63.8,0.4
193405,69,5.6
193505,58.4,-5.0
193605,67,3.6
193705,66.1,2.7
193805,62.8,-0.6
193905,67.9,4.5
194005,63.3,-0.1
194105,67.2,3.8
194205,62.6,-0.8
194305,60.3,-3.1
194405,65.7,2.3
194505,61.1,-2.3
194605,60.1,-3.3
194705,60.4,-3.0
194805,64.2,0.8
194905,65.2,1.8
195005,63.3,-0.1
195105,63.6,0.2
195205,63.5,0.1
195305,62.7,-0.7
195405,59.3,-4.1
195505,66,2.6
195605,68.3,4.9
195705,61.4,-2.0
195805,65.8,2.4
195905,65.4,2.0
196005,62.5,-0.9
196105,61,-2.4
196205,71.1,7.7
196305,66.3,2.9
196405,67.6,4.2
196505,66.9,3.5
196605,64.2,0.8
196705,60.7,-2.7
196805,59.2,-4.2
196905,64.5,1.1
197005,67.6,4.2
197105,61.4,-2.0
197205,62.9,-0.5
197305,61.2,-2.2
197405,66.7,3.3
197505,64,0.6
197605,59.9,-3.5
197705,67.7,4.3
197805,61.9,-1.5
197905,61.5,-1.9
198005,62.6,-0.8
198105,60.3,-3.1
198205,63.9,0.5
198305,59.4,-4.0
198405,62.2,-1.2
198505,65.6,2.2
198605,64.3,0.9
198705,67.2,3.8
198805,66.2,2.8
198905,64,0.6
199005,60.4,-3.0
199105,67,3.6
199205,62.7,-0.7
199305,62.3,-1.1
199405,64.7,1.3
199505,57.3,-6.1
199605,65.2,1.8
199705,60.7,-2.7
199805,67.9,4.5
199905,63.1,-0.3
200005,66.5,3.1
200105,65.1,1.7
200205,62.1,-1.3
200305,62.9,-0.5
200405,66.9,3.5
200505,64.1,0.7
200605,65.8,2.4
200705,65.9,2.5
200805,63,-0.4
200905,63,-0.4
201005,62.1,-1.3
201105,62.6,-0.8
201205,69,5.6
201305,63.3,-0.1
201405,64.7,1.3
201505,61.7,-1.7
