New York, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,27.8,3.2
189612,23.1,-1.5
189712,25.8,1.2
189812,24.1,-0.5
189912,26.5,1.9
190012,23.7,-0.9
190112,23.7,-0.9
190212,21.2,-3.4
190312,18.7,-5.9
190412,17.2,-7.4
190512,27.1,2.5
190612,21.2,-3.4
190712,27.6,3.0
190812,24.2,-0.4
190912,21.7,-2.9
191012,17.1,-7.5
191112,30.8,6.2
191212,29.4,4.8
191312,28.6,4.0
191412,21.8,-2.8
191512,23.5,-1.1
191612,23.7,-0.9
191712,13.9,-10.7
191812,28.3,3.7
191912,18.7,-5.9
192012,27.1,2.5
192112,22.5,-2.1
192212,24,-0.6
192312,32.6,8.0
192412,21.5,-3.1
192512,24.1,-0.5
192612,19,-5.6
192712,25.8,1.2
192812,29.1,4.5
192912,23.5,-1.1
193012,25,0.4
193112,29.2,4.6
193212,28.5,3.9
193312,21.4,-3.2
193412,21.2,-3.4
193512,19.1,-5.5
193612,27.6,3.0
193712,23.2,-1.4
193812,25.8,1.2
193912,25.5,0.9
194012,26.7,2.1
194112,27.6,3.0
194212,20.1,-4.5
194312,20.7,-3.9
194412,20.2,-4.4
194512,19.3,-5.3
194612,26.8,2.2
194712,21.8,-2.8
194812,27.3,2.7
194912,27.6,3.0
195012,23,-1.6
195112,25.9,1.3
195212,28.2,3.6
195312,30.9,6.3
195412,24.2,-0.4
195512,18.8,-5.8
195612,29,4.4
195712,30.2,5.6
195812,16.3,-8.3
195912,27.3,2.7
196012,19.6,-5.0
196112,25.2,0.6
196212,21.2,-3.4
196312,17.2,-7.4
196412,25.7,1.1
196512,28.7,4.1
196612,25.4,0.8
196712,27,2.4
196812,21.4,-3.2
196912,20.7,-3.9
197012,21.8,-2.8
197112,28.1,3.5
197212,26.7,2.1
197312,26.7,2.1
197412,27.8,3.2
197512,23.6,-1.0
197612,18.3,-6.3
197712,23.2,-1.4
197812,25.7,1.1
197912,29,4.4
198012,19,-5.6
198112,25.4,0.8
198212,32.2,7.6
198312,21.9,-2.7
198412,31.6,7.0
198512,21.9,-2.7
198612,28.2,3.6
198712,29.2,4.6
198812,24.4,-0.2
198912,11.1,-13.5
199012,30.8,6.2
199112,27.5,2.9
199212,27,2.4
199312,24.5,-0.1
199412,30.1,5.5
199512,20.8,-3.8
199612,31.9,7.3
199712,27.8,3.2
199812,32.8,8.2
199912,28.7,4.1
200012,19.5,-5.1
200112,33.4,8.8
200212,24.8,0.2
200312,27.5,2.9
200412,26,1.4
200512,23.8,-0.8
200612,34.4,9.8
200712,25.9,1.3
200812,26.5,1.9
200912,25.2,0.6
201012,23.1,-1.5
201112,31.8,7.2
201212,31.6,7.0
201312,25.4,0.8
201412,30.3,5.7
201512,39.3,14.7
