Louisiana, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,49.8,-1.1
189612,50.4,-0.5
189712,50.4,-0.5
189812,46.8,-4.1
189912,49.4,-1.5
190012,50.9,0.0
190112,48.1,-2.8
190212,49.6,-1.3
190312,46.6,-4.3
190412,49.7,-1.2
190512,45.1,-5.8
190612,55.1,4.2
190712,51.7,0.8
190812,54.7,3.8
190912,45.2,-5.7
191012,50.2,-0.7
191112,52,1.1
191212,49.8,-1.1
191312,50.2,-0.7
191412,45.8,-5.1
191512,50.8,-0.1
191612,52,1.1
191712,46.2,-4.7
191812,53.2,2.3
191912,51.6,0.7
192012,49.4,-1.5
192112,56,5.1
192212,57.9,7.0
192312,56.9,6.0
192412,50.6,-0.3
192512,47.2,-3.7
192612,54.8,3.9
192712,49,-1.9
192812,49.5,-1.4
192912,49.3,-1.6
193012,46.8,-4.1
193112,56.1,5.2
193212,49.6,-1.3
193312,59.8,8.9
193412,50.9,0.0
193512,46.3,-4.6
193612,51.8,0.9
193712,50.5,-0.4
193812,50.5,-0.4
193912,53.4,2.5
194012,54.4,3.5
194112,52.8,1.9
194212,51.9,1.0
194312,50,-0.9
194412,48.1,-2.8
194512,47.2,-3.7
194612,55,4.1
194712,51.1,0.2
194812,54.3,3.4
194912,54.1,3.2
195012,48.1,-2.8
195112,54.9,4.0
195212,50.1,-0.8
195312,48.4,-2.5
195412,51.6,0.7
195512,51.9,1.0
195612,56.9,6.0
195712,52.7,1.8
195812,47.6,-3.3
195912,51.2,0.3
196012,47.4,-3.5
196112,51,0.1
196212,49,-1.9
196312,42.3,-8.6
196412,51.8,0.9
196512,52.2,1.3
196612,50,-0.9
196712,52.7,1.8
196812,48.6,-2.3
196912,50.7,-0.2
197012,55.5,4.6
197112,58.3,7.4
197212,50,-0.9
197312,49.8,-1.1
197412,50.9,0.0
197512,49.3,-1.6
197612,47.3,-3.6
197712,50,-0.9
197812,50.8,-0.1
197912,49,-1.9
198012,49.7,-1.2
198112,49.2,-1.7
198212,55.5,4.6
198312,44,-6.9
198412,60.1,9.2
198512,46.9,-4.0
198612,49.1,-1.8
198712,54,3.1
198812,51.5,0.6
198912,42,-8.9
199012,53,2.1
199112,54.8,3.9
199212,52.9,2.0
199312,50.5,-0.4
199412,53.1,2.2
199512,50.5,-0.4
199612,54.1,3.2
199712,49,-1.9
199812,53.6,2.7
199912,50.9,0.0
200012,43.7,-7.2
200112,54.4,3.5
200212,50.8,-0.1
200312,49.4,-1.5
200412,49.7,-1.2
200512,49.2,-1.7
200612,52.1,1.2
200712,55.5,4.6
200812,52.5,1.6
200912,48.1,-2.8
201012,48.1,-2.8
201112,51.3,0.4
201212,55,4.1
201312,49.6,-1.3
201412,53.7,2.8
201512,58.9,8.0
