New Hampshire, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,57.7,1.1
189609,55.2,-1.4
189709,55.3,-1.3
189809,58.6,2.0
189909,54.5,-2.1
190009,58.2,1.6
190109,57.6,1.0
190209,56.8,0.2
190309,57.5,0.9
190409,54.2,-2.4
190509,55.2,-1.4
190609,58.2,1.6
190709,56.6,0.0
190809,59.5,2.9
190909,55.7,-0.9
191009,55.8,-0.8
191109,54.6,-2.0
191209,55.1,-1.5
191309,54.9,-1.7
191409,55.7,-0.9
191509,59.4,2.8
191609,56,-0.6
191709,53.3,-3.3
191809,52.9,-3.7
191909,56.3,-0.3
192009,57.9,1.3
192109,59,2.4
192209,57.6,1.0
192309,58.1,1.5
192409,54.1,-2.5
192509,56.2,-0.4
192609,55.4,-1.2
192709,56.3,-0.3
192809,53.7,-2.9
192909,58.1,1.5
193009,59.3,2.7
193109,59.5,2.9
193209,57.6,1.0
193309,57.6,1.0
193409,60.2,3.6
193509,54.2,-2.4
193609,56.9,0.3
193709,56.5,-0.1
193809,53.9,-2.7
193909,56.8,0.2
194009,55.1,-1.5
194109,57.7,1.1
194209,57.7,1.1
194309,55,-1.6
194409,58,1.4
194509,59.2,2.6
194609,58.9,2.3
194709,57.9,1.3
194809,57.9,1.3
194909,55.4,-1.2
195009,53.2,-3.4
195109,56.8,0.2
195209,58.3,1.7
195309,57.7,1.1
195409,54.6,-2.0
195509,55.7,-0.9
195609,52.7,-3.9
195709,58.2,1.6
195809,56.6,0.0
195909,59.7,3.1
196009,57.3,0.7
196109,64,7.4
196209,54.5,-2.1
196309,53.4,-3.2
196409,53.9,-2.7
196509,56.8,0.2
196609,53.6,-3.0
196709,56.4,-0.2
196809,59.1,2.5
196909,57.5,0.9
197009,57.4,0.8
197109,59.9,3.3
197209,56.5,-0.1
197309,55.8,-0.8
197409,55.9,-0.7
197509,54.6,-2.0
197609,55,-1.6
197709,55.6,-1.0
197809,53.2,-3.4
197909,56,-0.6
198009,56.5,-0.1
198109,55.7,-0.9
198209,57.5,0.9
198309,59.7,3.1
198409,54.5,-2.1
198509,57.5,0.9
198609,54.3,-2.3
198709,56.1,-0.5
198809,55,-1.6
198909,57.5,0.9
199009,56.7,0.1
199109,54.7,-1.9
199209,56.8,0.2
199309,56.3,-0.3
199409,55.5,-1.1
199509,54,-2.6
199609,58.2,1.6
199709,56.2,-0.4
199809,58.6,2.0
199909,61.3,4.7
200009,56.2,-0.4
200109,58.3,1.7
200209,61.2,4.6
200309,58.6,2.0
200409,58.5,1.9
200509,60.9,4.3
200609,56.9,0.3
200709,59,2.4
200809,58.4,1.8
200909,56,-0.6
201009,60.1,3.5
201109,61,4.4
201209,57.5,0.9
201309,57.5,0.9
201409,57.8,1.2
201509,62.7,6.1
