Massachusetts, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,30.8,2.7
189612,25.1,-3.0
189712,29.5,1.4
189812,26.8,-1.3
189912,30.8,2.7
190012,27.7,-0.4
190112,27,-1.1
190212,23.7,-4.4
190312,22.9,-5.2
190412,20.1,-8.0
190512,30,1.9
190612,24.1,-4.0
190712,31.1,3.0
190812,27.5,-0.6
190912,25.1,-3.0
191012,21.8,-6.3
191112,33.2,5.1
191212,32.6,4.5
191312,31.8,3.7
191412,25,-3.1
191512,27.3,-0.8
191612,27,-1.1
191712,18.5,-9.6
191812,29,0.9
191912,23.3,-4.8
192012,30.2,2.1
192112,25.8,-2.3
192212,25.4,-2.7
192312,34.6,6.5
192412,25.3,-2.8
192512,28,-0.1
192612,22,-6.1
192712,30.4,2.3
192812,31.9,3.8
192912,27.2,-0.9
193012,28.3,0.2
193112,31.9,3.8
193212,30.9,2.8
193312,23,-5.1
193412,25.7,-2.4
193512,23.8,-4.3
193612,31.2,3.1
193712,26.8,-1.3
193812,29.3,1.2
193912,28.5,0.4
194012,29.7,1.6
194112,31.2,3.1
194212,24,-4.1
194312,24.5,-3.6
194412,25.6,-2.5
194512,22.7,-5.4
194612,29.7,1.6
194712,25.3,-2.8
194812,31.1,3.0
194912,31.1,3.0
195012,29.6,1.5
195112,29.6,1.5
195212,31.2,3.1
195312,34.8,6.7
195412,29.6,1.5
195512,22.1,-6.0
195612,31.9,3.8
195712,34.7,6.6
195812,20.7,-7.4
195912,31.1,3.0
196012,23.1,-5.0
196112,28.1,0.0
196212,24.3,-3.8
196312,21.3,-6.8
196412,28.7,0.6
196512,30.5,2.4
196612,28.8,0.7
196712,29.9,1.8
196812,25.4,-2.7
196912,26.9,-1.2
197012,24.9,-3.2
197112,30.9,2.8
197212,30.2,2.1
197312,33,4.9
197412,31.2,3.1
197512,28.2,0.1
197612,22.3,-5.8
197712,26.8,-1.3
197812,29.2,1.1
197912,32.5,4.4
198012,23.7,-4.4
198112,28.2,0.1
198212,35,6.9
198312,27.4,-0.7
198412,34.5,6.4
198512,25.8,-2.3
198612,31.2,3.1
198712,31.6,3.5
198812,27.6,-0.5
198912,15.8,-12.3
199012,35,6.9
199112,31.1,3.0
199212,29.8,1.7
199312,29.5,1.4
199412,33.9,5.8
199512,25.1,-3.0
199612,34.9,6.8
199712,31,2.9
199812,35.6,7.5
199912,32.8,4.7
200012,25,-3.1
200112,35.9,7.8
200212,28.5,0.4
200312,31.4,3.3
200412,30,1.9
200512,28.1,0.0
200612,37,8.9
200712,28.4,0.3
200812,31.4,3.3
200912,29,0.9
201012,27.8,-0.3
201112,35.8,7.7
201212,34.8,6.7
201312,29.4,1.3
201412,34.7,6.6
201512,41.9,13.8
