Illinois, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,73.7,2.3
189606,71,-0.4
189706,70.8,-0.6
189806,72.9,1.5
189906,72.6,1.2
190006,70.3,-1.1
190106,74.1,2.7
190206,68.6,-2.8
190306,65.6,-5.8
190406,68.9,-2.5
190506,72.1,0.7
190606,69.9,-1.5
190706,67.7,-3.7
190806,69.8,-1.6
190906,71.3,-0.1
191006,69.3,-2.1
191106,75.3,3.9
191206,67.8,-3.6
191306,73.4,2.0
191406,75,3.6
191506,67.8,-3.6
191606,66.3,-5.1
191706,67.9,-3.5
191806,71.5,0.1
191906,74.2,2.8
192006,71.3,-0.1
192106,75.7,4.3
192206,73.2,1.8
192306,72.4,1.0
192406,69.2,-2.2
192506,73.9,2.5
192606,67.6,-3.8
192706,67.2,-4.2
192806,66,-5.4
192906,68.6,-2.8
193006,71,-0.4
193106,74.7,3.3
193206,73.2,1.8
193306,77.5,6.1
193406,78.2,6.8
193506,67.5,-3.9
193606,71.9,0.5
193706,70.7,-0.7
193806,69.8,-1.6
193906,72.7,1.3
194006,72.3,0.9
194106,72.5,1.1
194206,71.6,0.2
194306,74.2,2.8
194406,75.1,3.7
194506,67.5,-3.9
194606,71.4,0.0
194706,68.9,-2.5
194806,71.2,-0.2
194906,74,2.6
195006,70.3,-1.1
195106,68.8,-2.6
195206,76.9,5.5
195306,76.3,4.9
195406,75.5,4.1
195506,67.8,-3.6
195606,73.3,1.9
195706,71.8,0.4
195806,67.2,-4.2
195906,72.9,1.5
196006,69.6,-1.8
196106,70,-1.4
196206,71.7,0.3
196306,73.1,1.7
196406,73,1.6
196506,71.1,-0.3
196606,71,-0.4
196706,72,0.6
196806,72.7,1.3
196906,68.6,-2.8
197006,70.2,-1.2
197106,75.7,4.3
197206,69,-2.4
197306,72.5,1.1
197406,67.4,-4.0
197506,72.3,0.9
197606,70.9,-0.5
197706,70.7,-0.7
197806,72,0.6
197906,71.9,0.5
198006,70.5,-0.9
198106,72.8,1.4
198206,66.9,-4.5
198306,72.1,0.7
198406,74.5,3.1
198506,69.1,-2.3
198606,72.9,1.5
198706,74.6,3.2
198806,73.6,2.2
198906,70.5,-0.9
199006,71.9,0.5
199106,75.1,3.7
199206,68.8,-2.6
199306,70.5,-0.9
199406,73.8,2.4
199506,72.3,0.9
199606,71.5,0.1
199706,70.6,-0.8
199806,71.8,0.4
199906,72.3,0.9
200006,70.3,-1.1
200106,69.9,-1.5
200206,73.9,2.5
200306,67.9,-3.5
200406,70,-1.4
200506,75,3.6
200606,71.4,0.0
200706,72.7,1.3
200806,73.2,1.8
200906,72.7,1.3
201006,74.9,3.5
201106,72.9,1.5
201206,72.6,1.2
201306,71.5,0.1
201406,73,1.6
201506,71.7,0.3
