Missouri, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,23.6,-10.2
189602,35.5,1.7
189702,34.5,0.7
189802,34.9,1.1
189902,20.1,-13.7
190002,26.1,-7.7
190102,27.9,-5.9
190202,23.4,-10.4
190302,29.3,-4.5
190402,29.9,-3.9
190502,20.8,-13.0
190602,32,-1.8
190702,33.6,-0.2
190802,33.7,-0.1
190902,37,3.2
191002,28.4,-5.4
191102,37.8,4.0
191202,26.9,-6.9
191302,28.9,-4.9
191402,27.2,-6.6
191502,38.1,4.3
191602,30.7,-3.1
191702,29.7,-4.1
191802,34.3,0.5
191902,34.5,0.7
192002,34.1,0.3
192102,39.7,5.9
192202,34.9,1.1
192302,29.7,-4.1
192402,33.3,-0.5
192502,38.6,4.8
192602,38.7,4.9
192702,40.8,7.0
192802,36.1,2.3
192902,24.2,-9.6
193002,43.5,9.7
193102,40.1,6.3
193202,41.8,8.0
193302,31.6,-2.2
193402,31.6,-2.2
193502,36.7,2.9
193602,21.8,-12.0
193702,31.2,-2.6
193802,40,6.2
193902,31.9,-1.9
194002,32.1,-1.7
194102,31.5,-2.3
194202,31.7,-2.1
194302,38,4.2
194402,36.5,2.7
194502,34.3,0.5
194602,39.5,5.7
194702,27.7,-6.1
194802,32,-1.8
194902,34,0.2
195002,35.4,1.6
195102,34.6,0.8
195202,39,5.2
195302,38.8,5.0
195402,43.3,9.5
195502,32.9,-0.9
195602,35,1.2
195702,39.2,5.4
195802,25.3,-8.5
195902,33.8,0.0
196002,29.3,-4.5
196102,37.4,3.6
196202,36,2.2
196302,29.8,-4.0
196402,33.2,-0.6
196502,32.7,-1.1
196602,32.1,-1.7
196702,31.3,-2.5
196802,30,-3.8
196902,34,0.2
197002,33.6,-0.2
197102,31.9,-1.9
197202,34,0.2
197302,33.7,-0.1
197402,37,3.2
197502,31.3,-2.5
197602,43.3,9.5
197702,34.7,0.9
197802,21.5,-12.3
197902,23.4,-10.4
198002,27.8,-6.0
198102,35.4,1.6
198202,30.2,-3.6
198302,37.2,3.4
198402,40.2,6.4
198502,28.1,-5.7
198602,34.5,0.7
198702,39.5,5.7
198802,30.2,-3.6
198902,25.6,-8.2
199002,39.7,5.9
199102,39.9,6.1
199202,41.1,7.3
199302,30.7,-3.1
199402,32.5,-1.3
199502,36,2.2
199602,35.4,1.6
199702,37.4,3.6
199802,41.2,7.4
199902,42.4,8.6
200002,42.2,8.4
200102,34.3,0.5
200202,37.3,3.5
200302,31.2,-2.6
200402,33.1,-0.7
200502,40.1,6.3
200602,34.3,0.5
200702,29.4,-4.4
200802,31.1,-2.7
200902,38.4,4.6
201002,28.4,-5.4
201102,33.2,-0.6
201202,39.9,6.1
201302,34.5,0.7
201402,26.5,-7.3
201502,26.1,-7.7
