Kentucky, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,43.1,-2.3
189603,39,-6.4
189703,48.1,2.7
189803,49.6,4.2
189903,42.9,-2.5
190003,41.4,-4.0
190103,45.8,0.4
190203,46,0.6
190303,51.7,6.3
190403,46.3,0.9
190503,50.4,5.0
190603,37.9,-7.5
190703,53.7,8.3
190803,50.5,5.1
190903,43.8,-1.6
191003,53.7,8.3
191103,45.2,-0.2
191203,40.3,-5.1
191303,45.4,0.0
191403,40.8,-4.6
191503,37,-8.4
191603,42.6,-2.8
191703,44.7,-0.7
191803,50.6,5.2
191903,46.4,1.0
192003,45,-0.4
192103,55.5,10.1
192203,47.8,2.4
192303,44.4,-1.0
192403,40.4,-5.0
192503,47.9,2.5
192603,38.7,-6.7
192703,46.9,1.5
192803,44,-1.4
192903,50.5,5.1
193003,43.3,-2.1
193103,40.1,-5.3
193203,39.6,-5.8
193303,44.7,-0.7
193403,42.3,-3.1
193503,52.6,7.2
193603,49.3,3.9
193703,40.9,-4.5
193803,52,6.6
193903,48,2.6
194003,42.7,-2.7
194103,39.3,-6.1
194203,47.2,1.8
194303,41.5,-3.9
194403,43.9,-1.5
194503,55.1,9.7
194603,54.7,9.3
194703,36.7,-8.7
194803,48.9,3.5
194903,44.6,-0.8
195003,42.1,-3.3
195103,43.8,-1.6
195203,44.3,-1.1
195303,47.7,2.3
195403,43.6,-1.8
195503,47,1.6
195603,45,-0.4
195703,43.8,-1.6
195803,39.3,-6.1
195903,43.1,-2.3
196003,30.7,-14.7
196103,48.3,2.9
196203,41.6,-3.8
196303,49.5,4.1
196403,45.1,-0.3
196503,39.3,-6.1
196603,46,0.6
196703,49.9,4.5
196803,45.2,-0.2
196903,37.9,-7.5
197003,42,-3.4
197103,41.1,-4.3
197203,44.1,-1.3
197303,52.8,7.4
197403,49.8,4.4
197503,41.8,-3.6
197603,51,5.6
197703,49.9,4.5
197803,41.1,-4.3
197903,47.4,2.0
198003,41.2,-4.2
198103,42.6,-2.8
198203,47.8,2.4
198303,46,0.6
198403,41.1,-4.3
198503,48.7,3.3
198603,46.8,1.4
198703,47.8,2.4
198803,45.5,0.1
198903,47.9,2.5
199003,49.4,4.0
199103,48.3,2.9
199203,45.7,0.3
199303,42.2,-3.2
199403,44.8,-0.6
199503,48.4,3.0
199603,40,-5.4
199703,48.5,3.1
199803,46.5,1.1
199903,41.7,-3.7
200003,50.1,4.7
200103,41.4,-4.0
200203,45.6,0.2
200303,48.8,3.4
200403,49.3,3.9
200503,42.6,-2.8
200603,46.1,0.7
200703,53.3,7.9
200803,45.2,-0.2
200903,48.1,2.7
201003,46.5,1.1
201103,47.9,2.5
201203,58.1,12.7
201303,39.4,-6.0
201403,41.5,-3.9
201503,44.6,-0.8
