Kentucky, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,63.3,-1.1
189605,70.4,6.0
189705,60.6,-3.8
189805,66.8,2.4
189905,67.8,3.4
190005,65.5,1.1
190105,63.3,-1.1
190205,69.1,4.7
190305,67.6,3.2
190405,64.2,-0.2
190505,67.4,3.0
190605,65.4,1.0
190705,60.9,-3.5
190805,66.1,1.7
190905,63.3,-1.1
191005,60.5,-3.9
191105,68.7,4.3
191205,66,1.6
191305,65.3,0.9
191405,65.6,1.2
191505,64.6,0.2
191605,66.7,2.3
191705,58.1,-6.3
191805,68.4,4.0
191905,63,-1.4
192005,63.3,-1.1
192105,64.7,0.3
192205,66.9,2.5
192305,63,-1.4
192405,59,-5.4
192505,60.1,-4.3
192605,65.1,0.7
192705,64.8,0.4
192805,62.4,-2.0
192905,63.3,-1.1
193005,65.9,1.5
193105,62.1,-2.3
193205,64.7,0.3
193305,68.3,3.9
193405,67,2.6
193505,62.8,-1.6
193605,68,3.6
193705,64.5,0.1
193805,65.1,0.7
193905,66,1.6
194005,61.5,-2.9
194105,67,2.6
194205,65.1,0.7
194305,66.9,2.5
194405,69.8,5.4
194505,61,-3.4
194605,63.1,-1.3
194705,62.2,-2.2
194805,63.3,-1.1
194905,65.7,1.3
195005,66.1,1.7
195105,64.7,0.3
195205,65,0.6
195305,68,3.6
195405,59.9,-4.5
195505,66.6,2.2
195605,65.9,1.5
195705,65.6,1.2
195805,64.1,-0.3
195905,68.3,3.9
196005,61.6,-2.8
196105,59.8,-4.6
196205,71,6.6
196305,62.9,-1.5
196405,66.2,1.8
196505,68.8,4.4
196605,61.8,-2.6
196705,61.2,-3.2
196805,62.4,-2.0
196905,64.7,0.3
197005,66.4,2.0
197105,60.1,-4.3
197205,63.9,-0.5
197305,60.1,-4.3
197405,64.6,0.2
197505,66.9,2.5
197605,60,-4.4
197705,67.8,3.4
197805,62.1,-2.3
197905,62.3,-2.1
198005,63.9,-0.5
198105,60.4,-4.0
198205,68.4,4.0
198305,61,-3.4
198405,60.9,-3.5
198505,65.2,0.8
198605,65.9,1.5
198705,69.5,5.1
198805,63.6,-0.8
198905,60.6,-3.8
199005,62,-2.4
199105,70,5.6
199205,61.9,-2.5
199305,64.3,-0.1
199405,60,-4.4
199505,63.6,-0.8
199605,66.5,2.1
199705,59.1,-5.3
199805,67.9,3.5
199905,64.9,0.5
200005,67,2.6
200105,66.2,1.8
200205,62.1,-2.3
200305,64.2,-0.2
200405,69.2,4.8
200505,61.7,-2.7
200605,62.6,-1.8
200705,67.8,3.4
200805,61.8,-2.6
200905,64.8,0.4
201005,67.3,2.9
201105,64.2,-0.2
201205,69.4,5.0
201305,64.9,0.5
201405,66.1,1.7
201505,67.3,2.9
