New Hampshire, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,24.4,-4.4
189603,22.8,-6.0
189703,27.3,-1.5
189803,33.8,5.0
189903,24.3,-4.5
190003,22.2,-6.6
190103,26.9,-1.9
190203,35.6,6.8
190303,36.7,7.9
190403,25.8,-3.0
190503,26.4,-2.4
190603,21.8,-7.0
190703,27.6,-1.2
190803,28.1,-0.7
190903,26.1,-2.7
191003,33.5,4.7
191103,23.9,-4.9
191203,24.2,-4.6
191303,32.4,3.6
191403,28,-0.8
191503,25.9,-2.9
191603,20.7,-8.1
191703,26.9,-1.9
191803,26.9,-1.9
191903,32.1,3.3
192003,29,0.2
192103,36.6,7.8
192203,29.5,0.7
192303,22.4,-6.4
192403,28.9,0.1
192503,32.5,3.7
192603,21.8,-7.0
192703,31.4,2.6
192803,26.5,-2.3
192903,31.1,2.3
193003,28.4,-0.4
193103,31,2.2
193203,25.3,-3.5
193303,26.1,-2.7
193403,26,-2.8
193503,29,0.2
193603,34.9,6.1
193703,24.1,-4.7
193803,30.2,1.4
193903,23.1,-5.7
194003,24.6,-4.2
194103,24.2,-4.6
194203,33.4,4.6
194303,25.9,-2.9
194403,24.7,-4.1
194503,37,8.2
194603,38.2,9.4
194703,28.4,-0.4
194803,27.8,-1.0
194903,30.8,2.0
195003,23.5,-5.3
195103,30.4,1.6
195203,29.1,0.3
195303,31.5,2.7
195403,28.9,0.1
195503,27.7,-1.1
195603,22.6,-6.2
195703,30.4,1.6
195803,32.7,3.9
195903,27.1,-1.7
196003,23.4,-5.4
196103,28.7,-0.1
196203,30.3,1.5
196303,29.4,0.6
196403,30.4,1.6
196503,27.9,-0.9
196603,30.4,1.6
196703,24.6,-4.2
196803,31.3,2.5
196903,26.7,-2.1
197003,27.6,-1.2
197103,27,-1.8
197203,26.1,-2.7
197303,35.6,6.8
197403,28.2,-0.6
197503,27,-1.8
197603,30,1.2
197703,35.5,6.7
197803,25.8,-3.0
197903,34.3,5.5
198003,28.6,-0.2
198103,31.3,2.5
198203,27.7,-1.1
198303,32.5,3.7
198403,24,-4.8
198503,31,2.2
198603,31.5,2.7
198703,31.7,2.9
198803,29.4,0.6
198903,27.8,-1.0
199003,31.4,2.6
199103,32.9,4.1
199203,26.1,-2.7
199303,26.9,-1.9
199403,29.1,0.3
199503,32.8,4.0
199603,27.4,-1.4
199703,26.7,-2.1
199803,32.7,3.9
199903,31.5,2.7
200003,35.5,6.7
200103,26.9,-1.9
200203,30.9,2.1
200303,28.4,-0.4
200403,32.4,3.6
200503,26.6,-2.2
200603,30.1,1.3
200703,28.1,-0.7
200803,27.3,-1.5
200903,30.1,1.3
201003,37,8.2
201103,29.3,0.5
201203,38.9,10.1
201303,30.8,2.0
201403,21.6,-7.2
201503,23.9,-4.9
