Oklahoma, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,37.6,-1.4
189612,42.4,3.4
189712,35.6,-3.4
189812,33.1,-5.9
189912,37.2,-1.8
190012,41,2.0
190112,36.4,-2.6
190212,35.7,-3.3
190312,38.7,-0.3
190412,37.9,-1.1
190512,36.4,-2.6
190612,43.8,4.8
190712,40.9,1.9
190812,42,3.0
190912,30.9,-8.1
191012,38.4,-0.6
191112,36.8,-2.2
191212,38.3,-0.7
191312,38.2,-0.8
191412,31.4,-7.6
191512,41.6,2.6
191612,36.9,-2.1
191712,32.2,-6.8
191812,40.6,1.6
191912,35.2,-3.8
192012,40.2,1.2
192112,42.3,3.3
192212,42.4,3.4
192312,42.2,3.2
192412,33.3,-5.7
192512,37.8,-1.2
192612,38.9,-0.1
192712,35.4,-3.6
192812,40.3,1.3
192912,41.4,2.4
193012,38.5,-0.5
193112,43.4,4.4
193212,34.6,-4.4
193312,45.1,6.1
193412,39.7,0.7
193512,37.6,-1.4
193612,42.6,3.6
193712,37.4,-1.6
193812,40.6,1.6
193912,43.8,4.8
194012,41.9,2.9
194112,42.6,3.6
194212,39.6,0.6
194312,35.7,-3.3
194412,36.1,-2.9
194512,34.9,-4.1
194612,44.6,5.6
194712,40.2,1.2
194812,41.5,2.5
194912,40.4,1.4
195012,37.8,-1.2
195112,39.8,0.8
195212,38,-1.0
195312,39.2,0.2
195412,41.5,2.5
195512,38.3,-0.7
195612,42.4,3.4
195712,44.4,5.4
195812,37.1,-1.9
195912,43,4.0
196012,36.7,-2.3
196112,36.5,-2.5
196212,40.2,1.2
196312,32.1,-6.9
196412,38.2,-0.8
196512,45.1,6.1
196612,36.9,-2.1
196712,38.7,-0.3
196812,36.6,-2.4
196912,39.8,0.8
197012,43.3,4.3
197112,41.9,2.9
197212,34,-5.0
197312,39.2,0.2
197412,38.5,-0.5
197512,40.8,1.8
197612,37.9,-1.1
197712,39.8,0.8
197812,37.1,-1.9
197912,41.5,2.5
198012,42,3.0
198112,39.1,0.1
198212,41.5,2.5
198312,25.7,-13.3
198412,43.2,4.2
198512,34.4,-4.6
198612,39.5,0.5
198712,39,0.0
198812,41.8,2.8
198912,31,-8.0
199012,35.8,-3.2
199112,42.6,3.6
199212,39.3,0.3
199312,41.6,2.6
199412,42.3,3.3
199512,39.2,0.2
199612,41.1,2.1
199712,38.3,-0.7
199812,40.6,1.6
199912,42.7,3.7
200012,30.9,-8.1
200112,42.7,3.7
200212,40.4,1.4
200312,42.2,3.2
200412,41.5,2.5
200512,38.3,-0.7
200612,41.6,2.6
200712,38.2,-0.8
200812,38.6,-0.4
200912,34.6,-4.4
201012,39.5,0.5
201112,39.9,0.9
201212,42.2,3.2
201312,35.2,-3.8
201412,41.8,2.8
201512,44.7,5.7
