Maine, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,20.7,2.0
189612,15,-3.7
189712,18.7,0.0
189812,16.6,-2.1
189912,22.7,4.0
190012,15.6,-3.1
190112,19,0.3
190212,14.7,-4.0
190312,14.3,-4.4
190412,7.8,-10.9
190512,19,0.3
190612,12.9,-5.8
190712,22.5,3.8
190812,14.4,-4.3
190912,19.4,0.7
191012,14,-4.7
191112,23.5,4.8
191212,21.9,3.2
191312,22.1,3.4
191412,15.5,-3.2
191512,22.1,3.4
191612,19.3,0.6
191712,8,-10.7
191812,19,0.3
191912,12.5,-6.2
192012,20.4,1.7
192112,16.6,-2.1
192212,13.5,-5.2
192312,26.4,7.7
192412,13.7,-5.0
192512,17.8,-0.9
192612,14.2,-4.5
192712,21.9,3.2
192812,23.5,4.8
192912,15,-3.7
193012,19.2,0.5
193112,21.3,2.6
193212,23.2,4.5
193312,9.6,-9.1
193412,13.9,-4.8
193512,15.4,-3.3
193612,20.3,1.6
193712,16.9,-1.8
193812,21.4,2.7
193912,19.5,0.8
194012,17,-1.7
194112,21.5,2.8
194212,14.1,-4.6
194312,12.7,-6.0
194412,16.3,-2.4
194512,15.9,-2.8
194612,18,-0.7
194712,15.9,-2.8
194812,23.4,4.7
194912,23.1,4.4
195012,23.3,4.6
195112,18.1,-0.6
195212,22.8,4.1
195312,27,8.3
195412,21.2,2.5
195512,12.5,-6.2
195612,19.8,1.1
195712,25.3,6.6
195812,9.6,-9.1
195912,22.2,3.5
196012,17,-1.7
196112,22,3.3
196212,18.4,-0.3
196312,11.4,-7.3
196412,18.7,0.0
196512,20.1,1.4
196612,22.6,3.9
196712,20.4,1.7
196812,18.5,-0.2
196912,22.1,3.4
197012,12,-6.7
197112,17.1,-1.6
197212,15.3,-3.4
197312,26.5,7.8
197412,22.8,4.1
197512,16,-2.7
197612,12.2,-6.5
197712,18.5,-0.2
197812,18.9,0.2
197912,22.7,4.0
198012,12.1,-6.6
198112,23.8,5.1
198212,25.3,6.6
198312,18.4,-0.3
198412,23,4.3
198512,15.4,-3.3
198612,20.3,1.6
198712,22.6,3.9
198812,17.2,-1.5
198912,5,-13.7
199012,24.8,6.1
199112,17.8,-0.9
199212,22.5,3.8
199312,22.1,3.4
199412,24,5.3
199512,17,-1.7
199612,28.2,9.5
199712,20.8,2.1
199812,26.2,7.5
199912,25.2,6.5
200012,17.5,-1.2
200112,28.7,10.0
200212,21.1,2.4
200312,23.1,4.4
200412,19.1,0.4
200512,21.3,2.6
200612,27.8,9.1
200712,18.1,-0.6
200812,20.3,1.6
200912,21.9,3.2
201012,23.4,4.7
201112,26,7.3
201212,24.4,5.7
201312,17,-1.7
201412,26,7.3
201512,31,12.3
