Arizona, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,43.5,-1.2
189602,45.3,0.6
189702,41.9,-2.8
189802,46.9,2.2
189902,43.2,-1.5
190002,45.9,1.2
190102,45.3,0.6
190202,45.7,1.0
190302,38.1,-6.6
190402,48.6,3.9
190502,44.6,-0.1
190602,47.6,2.9
190702,49.7,5.0
190802,44.2,-0.5
190902,43.5,-1.2
191002,43.5,-1.2
191102,43.1,-1.6
191202,44.5,-0.2
191302,41.5,-3.2
191402,44.1,-0.6
191502,43.3,-1.4
191602,48.7,4.0
191702,42.5,-2.2
191802,45,0.3
191902,39.7,-5.0
192002,46.6,1.9
192102,46.1,1.4
192202,42.8,-1.9
192302,42.3,-2.4
192402,46.9,2.2
192502,47.4,2.7
192602,46.7,2.0
192702,47.3,2.6
192802,43.7,-1.0
192902,40,-4.7
193002,48.1,3.4
193102,45.8,1.1
193202,44.8,0.1
193302,36.7,-8.0
193402,48.9,4.2
193502,46,1.3
193602,44.2,-0.5
193702,42.1,-2.6
193802,44.3,-0.4
193902,35.7,-9.0
194002,44.8,0.1
194102,47.5,2.8
194202,40.5,-4.2
194302,47.7,3.0
194402,41.8,-2.9
194502,45.3,0.6
194602,42.7,-2.0
194702,48.1,3.4
194802,41.6,-3.1
194902,38.9,-5.8
195002,47.5,2.8
195102,44.2,-0.5
195202,42.6,-2.1
195302,43.1,-1.6
195402,49.9,5.2
195502,39,-5.7
195602,39.6,-5.1
195702,50.9,6.2
195802,47.3,2.6
195902,42.8,-1.9
196002,40.4,-4.3
196102,46,1.3
196202,45,0.3
196302,49.2,4.5
196402,39.1,-5.6
196502,43,-1.7
196602,39.2,-5.5
196702,46,1.3
196802,49,4.3
196902,42.7,-2.0
197002,47.8,3.1
197102,44.1,-0.6
197202,46.9,2.2
197302,43.6,-1.1
197402,42.5,-2.2
197502,42.5,-2.2
197602,47.7,3.0
197702,46.4,1.7
197802,44.6,-0.1
197902,42.3,-2.4
198002,47.6,2.9
198102,47.3,2.6
198202,45.6,0.9
198302,45.2,0.5
198402,44.1,-0.6
198502,42.6,-2.1
198602,47.8,3.1
198702,44.3,-0.4
198802,47.3,2.6
198902,45.8,1.1
199002,42.7,-2.0
199102,49.2,4.5
199202,47.1,2.4
199302,44.5,-0.2
199402,43.3,-1.4
199502,50.9,6.2
199602,50.1,5.4
199702,44.7,0.0
199802,42,-2.7
199902,48,3.3
200002,48.4,3.7
200102,44.2,-0.5
200202,46.2,1.5
200302,45.5,0.8
200402,42.1,-2.6
200502,46.2,1.5
200602,47.8,3.1
200702,46.7,2.0
200802,45.1,0.4
200902,46.6,1.9
201002,44.3,-0.4
201102,41.7,-3.0
201202,45.6,0.9
201302,42.2,-2.5
201402,50,5.3
201502,52.1,7.4
