Connecticut, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,31.7,2.4
189612,26,-3.3
189712,30.3,1.0
189812,27.8,-1.5
189912,31.1,1.8
190012,28.7,-0.6
190112,28,-1.3
190212,25.1,-4.2
190312,23.3,-6.0
190412,21.3,-8.0
190512,31.1,1.8
190612,25.4,-3.9
190712,32,2.7
190812,29.1,-0.2
190912,25.5,-3.8
191012,22.3,-7.0
191112,33.6,4.3
191212,33.1,3.8
191312,32.3,3.0
191412,26,-3.3
191512,27.5,-1.8
191612,28.2,-1.1
191712,19,-10.3
191812,30.8,1.5
191912,23.9,-5.4
192012,31.5,2.2
192112,27.2,-2.1
192212,26.7,-2.6
192312,35.8,6.5
192412,27.2,-2.1
192512,29.5,0.2
192612,23.3,-6.0
192712,30.7,1.4
192812,32.9,3.6
192912,28.1,-1.2
193012,29.2,-0.1
193112,33.7,4.4
193212,32,2.7
193312,25.6,-3.7
193412,27.5,-1.8
193512,24.9,-4.4
193612,32.7,3.4
193712,28.3,-1.0
193812,30.2,0.9
193912,30,0.7
194012,31.4,2.1
194112,32.3,3.0
194212,24.8,-4.5
194312,25.4,-3.9
194412,26.2,-3.1
194512,23.8,-5.5
194612,30.7,1.4
194712,26.5,-2.8
194812,31.3,2.0
194912,31.6,2.3
195012,29.8,0.5
195112,31.2,1.9
195212,32.3,3.0
195312,35.5,6.2
195412,30.7,1.4
195512,23.3,-6.0
195612,33.8,4.5
195712,35.2,5.9
195812,22.5,-6.8
195912,31.7,2.4
196012,24,-5.3
196112,29.2,-0.1
196212,25,-4.3
196312,22.7,-6.6
196412,29.8,0.5
196512,31.8,2.5
196612,29.6,0.3
196712,31.3,2.0
196812,26.6,-2.7
196912,27,-2.3
197012,26.9,-2.4
197112,33.1,3.8
197212,31.8,2.5
197312,33.8,4.5
197412,32.2,2.9
197512,29.4,0.1
197612,23.8,-5.5
197712,28.2,-1.1
197812,30.9,1.6
197912,33.5,4.2
198012,25.3,-4.0
198112,29.2,-0.1
198212,35.6,6.3
198312,28.6,-0.7
198412,35.7,6.4
198512,27.3,-2.0
198612,32.3,3.0
198712,32.6,3.3
198812,29.1,-0.2
198912,17.9,-11.4
199012,36.3,7.0
199112,33.1,3.8
199212,30.8,1.5
199312,30.4,1.1
199412,35.1,5.8
199512,26.1,-3.2
199612,35.9,6.6
199712,32.1,2.8
199812,36.6,7.3
199912,33.8,4.5
200012,26.1,-3.2
200112,37.1,7.8
200212,29.8,0.5
200312,32.5,3.2
200412,30.8,1.5
200512,28.7,-0.6
200612,38,8.7
200712,30.2,0.9
200812,32.2,2.9
200912,30.1,0.8
201012,28.2,-1.1
201112,36.9,7.6
201212,35.9,6.6
201312,31.1,1.8
201412,35.4,6.1
201512,43.7,14.4
