New Mexico, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,31.5,-2.8
189612,37.1,2.8
189712,32.6,-1.7
189812,28.1,-6.2
189912,34.6,0.3
190012,35.2,0.9
190112,35,0.7
190212,34.2,-0.1
190312,33.5,-0.8
190412,33.2,-1.1
190512,28.7,-5.6
190612,39,4.7
190712,36,1.7
190812,34.9,0.6
190912,27.1,-7.2
191012,36.7,2.4
191112,28.1,-6.2
191212,28.7,-5.6
191312,29.3,-5.0
191412,30.8,-3.5
191512,35.4,1.1
191612,32.6,-1.7
191712,38.8,4.5
191812,29.1,-5.2
191912,36.3,2.0
192012,32.8,-1.5
192112,39.7,5.4
192212,38.5,4.2
192312,32,-2.3
192412,30.2,-4.1
192512,32.1,-2.2
192612,32.9,-1.4
192712,30.9,-3.4
192812,33.2,-1.1
192912,35.9,1.6
193012,30.6,-3.7
193112,31.3,-3.0
193212,28.8,-5.5
193312,39.7,5.4
193412,36.3,2.0
193512,33.9,-0.4
193612,35.5,1.2
193712,35.6,1.3
193812,36.2,1.9
193912,38,3.7
194012,37.8,3.5
194112,36.3,2.0
194212,37.8,3.5
194312,31.7,-2.6
194412,33.5,-0.8
194512,32.4,-1.9
194612,38.9,4.6
194712,32.4,-1.9
194812,37,2.7
194912,33.1,-1.2
195012,38.7,4.4
195112,34.5,0.2
195212,32.3,-2.0
195312,30.3,-4.0
195412,35.4,1.1
195512,38.2,3.9
195612,34.6,0.3
195712,37.2,2.9
195812,37.6,3.3
195912,36,1.7
196012,30.2,-4.1
196112,33.1,-1.2
196212,36.7,2.4
196312,32.7,-1.6
196412,34.5,0.2
196512,36.6,2.3
196612,33.6,-0.7
196712,30.4,-3.9
196812,32.4,-1.9
196912,36.9,2.6
197012,37.2,2.9
197112,33.5,-0.8
197212,33.5,-0.8
197312,35.2,0.9
197412,31.7,-2.6
197512,35.4,1.1
197612,32.5,-1.8
197712,39.5,5.2
197812,31.6,-2.7
197912,35.8,1.5
198012,40.5,6.2
198112,38.5,4.2
198212,33.1,-1.2
198312,33.2,-1.1
198412,36.2,1.9
198512,34.7,0.4
198612,34.3,0.0
198712,32.7,-1.6
198812,33.5,-0.8
198912,32.7,-1.6
199012,32,-2.3
199112,34.5,0.2
199212,32.6,-1.7
199312,35.4,1.1
199412,38.4,4.1
199512,37.5,3.2
199612,37,2.7
199712,31.3,-3.0
199812,36.9,2.6
199912,34.2,-0.1
200012,35.2,0.9
200112,34.7,0.4
200212,34.5,0.2
200312,36.8,2.5
200412,35.7,1.4
200512,36.8,2.5
200612,34.5,0.2
200712,35,0.7
200812,36.8,2.5
200912,31.6,-2.7
201012,40.4,6.1
201112,31.4,-2.9
201212,36,1.7
201312,34.5,0.2
201412,37.7,3.4
201512,36,1.7
