Delaware, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,38.5,2.3
189612,33.6,-2.6
189712,37.4,1.2
189812,35.7,-0.5
189912,36.2,0.0
190012,35.3,-0.9
190112,34.1,-2.1
190212,34,-2.2
190312,30.7,-5.5
190412,29.1,-7.1
190512,37.3,1.1
190612,36.1,-0.1
190712,38.1,1.9
190812,36,-0.2
190912,30.5,-5.7
191012,28.7,-7.5
191112,40.2,4.0
191212,38.8,2.6
191312,38.6,2.4
191412,32.4,-3.8
191512,33.3,-2.9
191612,33.9,-2.3
191712,27.9,-8.3
191812,39.8,3.6
191912,31,-5.2
192012,38.3,2.1
192112,35.1,-1.1
192212,36.2,0.0
192312,43.2,7.0
192412,35.7,-0.5
192512,35.4,-0.8
192612,31.5,-4.7
192712,37.8,1.6
192812,35.9,-0.3
192912,36.9,0.7
193012,33.8,-2.4
193112,42.7,6.5
193212,37.9,1.7
193312,35.9,-0.3
193412,35,-1.2
193512,29.8,-6.4
193612,38.9,2.7
193712,34.7,-1.5
193812,36.6,0.4
193912,37,0.8
194012,40,3.8
194112,39.6,3.4
194212,32.4,-3.8
194312,34.1,-2.1
194412,32.7,-3.5
194512,30.3,-5.9
194612,39.2,3.0
194712,33.6,-2.6
194812,38,1.8
194912,38.9,2.7
195012,33.2,-3.0
195112,38.9,2.7
195212,37.1,0.9
195312,39.6,3.4
195412,35.7,-0.5
195512,30.6,-5.6
195612,43.6,7.4
195712,39.4,3.2
195812,28.4,-7.8
195912,39,2.8
196012,29.4,-6.8
196112,34.6,-1.6
196212,31,-5.2
196312,29.7,-6.5
196412,39,2.8
196512,38.3,2.1
196612,35.8,-0.4
196712,37.3,1.1
196812,34.2,-2.0
196912,33.3,-2.9
197012,36.4,0.2
197112,43.1,6.9
197212,41.7,5.5
197312,39,2.8
197412,39.4,3.2
197512,37.4,1.2
197612,31.9,-4.3
197712,35.7,-0.5
197812,38.8,2.6
197912,39.1,2.9
198012,34.6,-1.6
198112,34.6,-1.6
198212,43,6.8
198312,35,-1.2
198412,44,7.8
198512,34,-2.2
198612,38.3,2.1
198712,39.7,3.5
198812,36.4,0.2
198912,25.6,-10.6
199012,42.7,6.5
199112,40.8,4.6
199212,38.5,2.3
199312,36,-0.2
199412,42,5.8
199512,32.9,-3.3
199612,41.3,5.1
199712,38.9,2.7
199812,42,5.8
199912,40.5,4.3
200012,31.3,-4.9
200112,44.4,8.2
200212,36,-0.2
200312,37.8,1.6
200412,39,2.8
200512,35.6,-0.6
200612,43.9,7.7
200712,39.1,2.9
200812,40.7,4.5
200912,37.1,0.9
201012,31.7,-4.5
201112,43.4,7.2
201212,44.1,7.9
201312,40.4,4.2
201412,41,4.8
201512,50.9,14.7
