Arizona, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,37.5,-4.0
189612,43.3,1.8
189712,38.4,-3.1
189812,35.7,-5.8
189912,43,1.5
190012,42.3,0.8
190112,42.3,0.8
190212,40.9,-0.6
190312,41.2,-0.3
190412,41.6,0.1
190512,37.8,-3.7
190612,44.8,3.3
190712,43.5,2.0
190812,41.9,0.4
190912,35.8,-5.7
191012,44.7,3.2
191112,35.9,-5.6
191212,36.9,-4.6
191312,39.2,-2.3
191412,38.8,-2.7
191512,41,-0.5
191612,37.8,-3.7
191712,45.9,4.4
191812,38.8,-2.7
191912,42.4,0.9
192012,38.9,-2.6
192112,45.3,3.8
192212,44.4,2.9
192312,39.9,-1.6
192412,37.8,-3.7
192512,41.7,0.2
192612,38.9,-2.6
192712,38.3,-3.2
192812,39.7,-1.8
192912,44.8,3.3
193012,38.6,-2.9
193112,36.1,-5.4
193212,35.6,-5.9
193312,44,2.5
193412,43.5,2.0
193512,42,0.5
193612,41.6,0.1
193712,45.1,3.6
193812,43.5,2.0
193912,46.2,4.7
194012,44.9,3.4
194112,42.4,0.9
194212,44.5,3.0
194312,41.8,0.3
194412,42,0.5
194512,38.6,-2.9
194612,44.7,3.2
194712,38.8,-2.7
194812,41.1,-0.4
194912,39.7,-1.8
195012,47.1,5.6
195112,39.8,-1.7
195212,40,-1.5
195312,38.9,-2.6
195412,41.9,0.4
195512,45.5,4.0
195612,41.5,0.0
195712,44.2,2.7
195812,46.1,4.6
195912,42.8,1.3
196012,39.5,-2.0
196112,39.1,-2.4
196212,44,2.5
196312,41.1,-0.4
196412,41.9,0.4
196512,42.2,0.7
196612,41.5,0.0
196712,36.2,-5.3
196812,37.8,-3.7
196912,44.1,2.6
197012,41.7,0.2
197112,38.1,-3.4
197212,39,-2.5
197312,43,1.5
197412,38.7,-2.8
197512,42.1,0.6
197612,41.3,-0.2
197712,46.9,5.4
197812,37.7,-3.8
197912,43.8,2.3
198012,47.7,6.2
198112,45.2,3.7
198212,40.8,-0.7
198312,44.1,2.6
198412,41.5,0.0
198512,43,1.5
198612,42.1,0.6
198712,39.1,-2.4
198812,41,-0.5
198912,42.4,0.9
199012,37.4,-4.1
199112,41.8,0.3
199212,38.4,-3.1
199312,41.9,0.4
199412,43.2,1.7
199512,44.7,3.2
199612,44.2,2.7
199712,39.5,-2.0
199812,42.7,1.2
199912,42,0.5
200012,44.7,3.2
200112,40.2,-1.3
200212,41,-0.5
200312,43,1.5
200412,42.8,1.3
200512,43.9,2.4
200612,41.8,0.3
200712,39.9,-1.6
200812,42.4,0.9
200912,39,-2.5
201012,46.7,5.2
201112,39.9,-1.6
201212,42.4,0.9
201312,41.5,0.0
201412,44.3,2.8
201512,41.1,-0.4
