Contiguous U.S., Precipitation, May
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189505,2.88,-0.03
189605,2.96,0.05
189705,2.12,-0.79
189805,3.23,0.32
189905,2.74,-0.17
190005,2.45,-0.46
190105,2.66,-0.25
190205,3,0.09
190305,3.01,0.10
190405,2.59,-0.32
190505,3.74,0.83
190605,3.16,0.25
190705,3.45,0.54
190805,4.13,1.22
190905,3.04,0.13
191005,2.59,-0.32
191105,1.97,-0.94
191205,2.89,-0.02
191305,2.51,-0.40
191405,2.48,-0.43
191505,3.89,0.98
191605,2.88,-0.03
191705,2.64,-0.27
191805,2.59,-0.32
191905,3.2,0.29
192005,2.79,-0.12
192105,2.55,-0.36
192205,3.11,0.20
192305,3.13,0.22
192405,2.42,-0.49
192505,1.92,-0.99
192605,2.21,-0.70
192705,2.99,0.08
192805,2.34,-0.57
192905,3.51,0.60
193005,3.17,0.26
193105,2.29,-0.62
193205,2.42,-0.49
193305,3.39,0.48
193405,1.81,-1.10
193505,3.72,0.81
193605,2.25,-0.66
193705,2.33,-0.58
193805,3.24,0.33
193905,2.2,-0.71
194005,2.22,-0.69
194105,2.67,-0.24
194205,3.16,0.25
194305,3.39,0.48
194405,3,0.09
194505,2.87,-0.04
194605,3.75,0.84
194705,3.19,0.28
194805,2.77,-0.14
194905,2.98,0.07
195005,2.88,-0.03
195105,2.37,-0.54
195205,2.69,-0.22
195305,3.26,0.35
195405,2.69,-0.22
195505,2.92,0.01
195605,2.6,-0.31
195705,4.24,1.33
195805,2.46,-0.45
195905,3.2,0.29
196005,2.87,-0.04
196105,2.88,-0.03
196205,2.69,-0.22
196305,2.36,-0.55
196405,2.25,-0.66
196505,2.71,-0.20
196605,2.24,-0.67
196705,2.96,0.05
196805,3.33,0.42
196905,2.66,-0.25
197005,2.61,-0.30
197105,2.92,0.01
197205,2.95,0.04
197305,3.03,0.12
197405,3.07,0.16
197505,3.28,0.37
197605,2.93,0.02
197705,2.67,-0.24
197805,3.64,0.73
197905,3.23,0.32
198005,3.09,0.18
198105,3.55,0.64
198205,3.42,0.51
198305,3.47,0.56
198405,3.15,0.24
198505,2.55,-0.36
198605,2.95,0.04
198705,3.24,0.33
198805,2.07,-0.84
198905,3.26,0.35
199005,3.83,0.92
199105,3.72,0.81
199205,2.29,-0.62
199305,2.94,0.03
199405,2.43,-0.48
199505,4.1,1.19
199605,3.32,0.41
199705,2.78,-0.13
199805,2.62,-0.29
199905,2.91,0.00
200005,2.66,-0.25
200105,2.78,-0.13
200205,2.64,-0.27
200305,3.27,0.36
200405,3.34,0.43
200505,2.76,-0.15
200605,2.29,-0.62
200705,2.75,-0.16
200805,3,0.09
200905,3.31,0.40
201005,3.32,0.41
201105,3.43,0.52
201205,2.5,-0.41
201305,3.35,0.44
201405,2.81,-0.10
201505,4.44,1.53
