Contiguous U.S., Precipitation, June
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189506,2.95,0.02
189606,2.64,-0.29
189706,2.88,-0.05
189806,3.07,0.14
189906,2.97,0.04
190006,3.03,0.10
190106,2.6,-0.33
190206,2.89,-0.04
190306,2.88,-0.05
190406,3.11,0.18
190506,3.3,0.37
190606,3.04,0.11
190706,3.12,0.19
190806,3.02,0.09
190906,3.23,0.30
191006,2.48,-0.45
191106,2.2,-0.73
191206,2.71,-0.22
191306,2.71,-0.22
191406,2.85,-0.08
191506,3.18,0.25
191606,3.24,0.31
191706,2.44,-0.49
191806,2.25,-0.68
191906,2.97,0.04
192006,2.89,-0.04
192106,2.9,-0.03
192206,2.7,-0.23
192306,3.3,0.37
192406,2.77,-0.16
192506,2.91,-0.02
192606,2.49,-0.44
192706,3.12,0.19
192806,4.28,1.35
192906,2.63,-0.30
193006,2.33,-0.60
193106,2.14,-0.79
193206,3.06,0.13
193306,1.45,-1.48
193406,2.59,-0.34
193506,3.19,0.26
193606,1.91,-1.02
193706,3.11,0.18
193806,3.12,0.19
193906,3.32,0.39
194006,2.98,0.05
194106,3.8,0.87
194206,3.46,0.53
194306,3.27,0.34
194406,3.01,0.08
194506,3.41,0.48
194606,2.88,-0.05
194706,3.83,0.90
194806,3.23,0.30
194906,3.2,0.27
195006,2.8,-0.13
195106,3.44,0.51
195206,2.2,-0.73
195306,2.54,-0.39
195406,2.5,-0.43
195506,2.47,-0.46
195606,2.21,-0.72
195706,3.65,0.72
195806,3.2,0.27
195906,2.62,-0.31
196006,2.69,-0.24
196106,2.92,-0.01
196206,3.21,0.28
196306,2.94,0.01
196406,2.81,-0.12
196506,3.24,0.31
196606,2.24,-0.69
196706,3.58,0.65
196806,3.12,0.19
196906,3.31,0.38
197006,2.77,-0.16
197106,2.53,-0.40
197206,3.1,0.17
197306,3.05,0.12
197406,2.64,-0.29
197506,3.31,0.38
197606,2.77,-0.16
197706,2.49,-0.44
197806,2.55,-0.38
197906,2.54,-0.39
198006,2.31,-0.62
198106,3.41,0.48
198206,3.31,0.38
198306,2.95,0.02
198406,2.93,0.00
198506,2.62,-0.31
198606,3.03,0.10
198706,2.81,-0.12
198806,1.61,-1.32
198906,3.8,0.87
199006,2.5,-0.43
199106,2.84,-0.09
199206,3.39,0.46
199306,3.61,0.68
199406,2.9,-0.03
199506,3.23,0.30
199606,2.87,-0.06
199706,3.4,0.47
199806,3.32,0.39
199906,3.31,0.38
200006,3.45,0.52
200106,3.12,0.19
200206,2.56,-0.37
200306,3.45,0.52
200406,3.51,0.58
200506,3.14,0.21
200606,2.56,-0.37
200706,2.91,-0.02
200806,3,0.07
200906,3.01,0.08
201006,3.49,0.56
201106,2.58,-0.35
201206,2.24,-0.69
201306,3.34,0.41
201406,3.67,0.74
201506,3.55,0.62
