Contiguous U.S., Precipitation, December
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189512,2.53,0.18
189612,1.5,-0.85
189712,2.56,0.21
189812,1.72,-0.63
189912,2.36,0.01
190012,1.66,-0.69
190112,2.6,0.25
190212,2.93,0.58
190312,1.44,-0.91
190412,2.16,-0.19
190512,2.3,-0.05
190612,2.88,0.53
190712,2.69,0.34
190812,1.73,-0.62
190912,2.6,0.25
191012,1.69,-0.66
191112,2.95,0.60
191212,2.1,-0.25
191312,2.31,-0.04
191412,2.5,0.15
191512,2.63,0.28
191612,2.18,-0.17
191712,1.66,-0.69
191812,2.66,0.31
191912,1.81,-0.54
192012,2.75,0.40
192112,2.24,-0.11
192212,2.67,0.32
192312,2.83,0.48
192412,2.62,0.27
192512,1.66,-0.69
192612,2.67,0.32
192712,2.68,0.33
192812,1.74,-0.61
192912,2.21,-0.14
193012,1.28,-1.07
193112,3.38,1.03
193212,2.92,0.57
193312,2.66,0.31
193412,1.92,-0.43
193512,1.77,-0.58
193612,2.79,0.44
193712,2.43,0.08
193812,1.71,-0.64
193912,1.88,-0.47
194012,2.84,0.49
194112,2.81,0.46
194212,3,0.65
194312,1.74,-0.61
194412,2.06,-0.29
194512,2.7,0.35
194612,1.94,-0.41
194712,1.99,-0.36
194812,2.59,0.24
194912,2.22,-0.13
195012,1.93,-0.42
195112,3.12,0.77
195212,2.45,0.10
195312,2.5,0.15
195412,2,-0.35
195512,2.24,-0.11
195612,2,-0.35
195712,2.4,0.05
195812,1.32,-1.03
195912,2.22,-0.13
196012,1.9,-0.45
196112,2.69,0.34
196212,1.58,-0.77
196312,1.48,-0.87
196412,3.33,0.98
196512,2.16,-0.19
196612,2.54,0.19
196712,3.06,0.71
196812,2.82,0.47
196912,2.94,0.59
197012,2.22,-0.13
197112,3.2,0.85
197212,3.02,0.67
197312,3.09,0.74
197412,2.42,0.07
197512,2.11,-0.24
197612,1.36,-0.99
197712,2.72,0.37
197812,2.53,0.18
197912,1.86,-0.49
198012,1.57,-0.78
198112,2.41,0.06
198212,3.76,1.41
198312,3.44,1.09
198412,2.49,0.14
198512,1.46,-0.89
198612,2,-0.35
198712,2.87,0.52
198812,1.69,-0.66
198912,1.34,-1.01
199012,2.69,0.34
199112,2.77,0.42
199212,2.79,0.44
199312,1.96,-0.39
199412,2.19,-0.16
199512,2.25,-0.10
199612,3.29,0.94
199712,2.31,-0.04
199812,2.08,-0.27
199912,1.73,-0.62
200012,1.71,-0.64
200112,2.36,0.01
200212,3,0.65
200312,2.38,0.03
200412,2.18,-0.17
200512,2.29,-0.06
200612,2.57,0.22
200712,2.97,0.62
200812,2.84,0.49
200912,3.08,0.73
201012,2.45,0.10
201112,2.26,-0.09
201212,2.88,0.53
201312,2.21,-0.14
201412,2.58,0.23
201512,4.04,1.69
