Contiguous U.S., Precipitation, September
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189509,1.58,-0.91
189609,2.78,0.29
189709,1.57,-0.92
189809,2.33,-0.16
189909,1.54,-0.95
190009,2.93,0.44
190109,2.58,0.09
190209,2.74,0.25
190309,2.12,-0.37
190409,2.33,-0.16
190509,2.57,0.08
190609,2.91,0.42
190709,2.51,0.02
190809,1.83,-0.66
190909,2.28,-0.21
191009,2.17,-0.32
191109,2.75,0.26
191209,2.51,0.02
191309,3.13,0.64
191409,2.18,-0.31
191509,2.77,0.28
191609,1.98,-0.51
191709,2.17,-0.32
191809,2.44,-0.05
191909,2.34,-0.15
192009,2.44,-0.05
192109,2.57,0.08
192209,1.47,-1.02
192309,2.83,0.34
192409,2.92,0.43
192509,2.88,0.39
192609,3.23,0.74
192709,2.48,-0.01
192809,2.11,-0.38
192909,2.75,0.26
193009,2.33,-0.16
193109,2.06,-0.43
193209,2.16,-0.33
193309,2.4,-0.09
193409,2.87,0.38
193509,2.46,-0.03
193609,2.99,0.50
193709,2,-0.49
193809,2.45,-0.04
193909,1.62,-0.87
194009,2,-0.49
194109,3.16,0.67
194209,2.7,0.21
194309,1.89,-0.60
194409,2.39,-0.10
194509,3.44,0.95
194609,2.64,0.15
194709,2.16,-0.33
194809,1.81,-0.68
194909,2.22,-0.27
195009,2.69,0.20
195109,2.57,0.08
195209,1.53,-0.96
195309,1.5,-0.99
195409,1.95,-0.54
195509,2.11,-0.38
195609,1.44,-1.05
195709,2.86,0.37
195809,2.82,0.33
195909,2.82,0.33
196009,2.21,-0.28
196109,2.94,0.45
196209,2.78,0.29
196309,2.21,-0.28
196409,2.54,0.05
196509,3.53,1.04
196609,2.44,-0.05
196709,2.49,0.00
196809,2.31,-0.18
196909,2.3,-0.19
197009,3.06,0.57
197109,2.83,0.34
197209,2.74,0.25
197309,3.46,0.97
197409,2.72,0.23
197509,2.66,0.17
197609,2.45,-0.04
197709,3.22,0.73
197809,2.44,-0.05
197909,2.51,0.02
198009,2.79,0.30
198109,2.08,-0.41
198209,2.45,-0.04
198309,2.26,-0.23
198409,1.91,-0.58
198509,3,0.51
198609,3.59,1.10
198709,2.19,-0.30
198809,2.81,0.32
198909,2.68,0.19
199009,2.04,-0.45
199109,2.53,0.04
199209,2.33,-0.16
199309,2.58,0.09
199409,2.14,-0.35
199509,2.2,-0.29
199609,3.44,0.95
199709,2.54,0.05
199809,2.51,0.02
199909,2.52,0.03
200009,2.18,-0.31
200109,2.45,-0.04
200209,2.72,0.23
200309,2.82,0.33
200409,2.98,0.49
200509,1.94,-0.55
200609,2.8,0.31
200709,2.17,-0.32
200809,2.68,0.19
200909,2.54,0.05
201009,2.78,0.29
201109,2.48,-0.01
201209,2.34,-0.15
201309,2.98,0.49
201409,2.64,0.15
201509,2.12,-0.37
