Contiguous U.S., Precipitation, March
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189503,1.99,-0.52
189603,2.41,-0.10
189703,3.62,1.11
189803,2.42,-0.09
189903,2.82,0.31
190003,2.28,-0.23
190103,2.29,-0.22
190203,2.9,0.39
190303,3.01,0.50
190403,3.1,0.59
190503,2.94,0.43
190603,3.26,0.75
190703,2.45,-0.06
190803,2.18,-0.33
190903,2.21,-0.30
191003,1.02,-1.49
191103,1.71,-0.80
191203,3.39,0.88
191303,2.99,0.48
191403,1.85,-0.66
191503,1.51,-1.00
191603,2.13,-0.38
191703,2.48,-0.03
191803,1.85,-0.66
191903,2.71,0.20
192003,2.78,0.27
192103,2.52,0.01
192203,3.46,0.95
192303,2.42,-0.09
192403,2.22,-0.29
192503,1.56,-0.95
192603,2.31,-0.20
192703,2.59,0.08
192803,2.39,-0.12
192903,2.81,0.30
193003,1.98,-0.53
193103,2.31,-0.20
193203,2.31,-0.20
193303,2.47,-0.04
193403,2.34,-0.17
193503,2.74,0.23
193603,2.1,-0.41
193703,2.15,-0.36
193803,3.3,0.79
193903,2.07,-0.44
194003,2.27,-0.24
194103,2.09,-0.42
194203,2.46,-0.05
194303,2.88,0.37
194403,3.03,0.52
194503,3.12,0.61
194603,2.67,0.16
194703,2.27,-0.24
194803,3,0.49
194903,2.47,-0.04
195003,2.49,-0.02
195103,2.6,0.09
195203,2.93,0.42
195303,2.61,0.10
195403,2.16,-0.35
195503,1.98,-0.53
195603,1.82,-0.69
195703,2.51,0.00
195803,2.66,0.15
195903,2.14,-0.37
196003,2.12,-0.39
196103,3.16,0.65
196203,2.15,-0.36
196303,2.47,-0.04
196403,2.83,0.32
196503,2.16,-0.35
196603,1.61,-0.90
196703,1.92,-0.59
196803,2.16,-0.35
196903,1.89,-0.62
197003,2.68,0.17
197103,2.08,-0.43
197203,2.13,-0.38
197303,4,1.49
197403,2.63,0.12
197503,3.4,0.89
197603,2.57,0.06
197703,3.1,0.59
197803,2.26,-0.25
197903,2.8,0.29
198003,3.39,0.88
198103,2.21,-0.30
198203,2.51,0.00
198303,3.7,1.19
198403,2.75,0.24
198503,2.48,-0.03
198603,1.98,-0.53
198703,2.67,0.16
198803,2.04,-0.47
198903,2.91,0.40
199003,2.71,0.20
199103,3.33,0.82
199203,2.51,0.00
199303,2.85,0.34
199403,2.36,-0.15
199503,2.99,0.48
199603,2.24,-0.27
199703,2.44,-0.07
199803,3.23,0.72
199903,2.19,-0.32
200003,2.44,-0.07
200103,2.57,0.06
200203,2.59,0.08
200303,2.48,-0.03
200403,2.01,-0.50
200503,2.34,-0.17
200603,2.31,-0.20
200703,2.31,-0.20
200803,2.52,0.01
200903,2.7,0.19
201003,2.3,-0.21
201103,2.91,0.40
201203,2.87,0.36
201303,1.72,-0.79
201403,2.37,-0.14
201503,2.13,-0.38
