Contiguous U.S., Precipitation, February
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189502,1.41,-0.72
189602,2.05,-0.08
189702,2.79,0.66
189802,1.65,-0.48
189902,2.28,0.15
190002,2.52,0.39
190102,2.13,0.00
190202,2.56,0.43
190302,3.03,0.90
190402,2.43,0.30
190502,2.35,0.22
190602,1.72,-0.41
190702,1.82,-0.31
190802,2.81,0.68
190902,2.88,0.75
191002,2.11,-0.02
191102,2.13,0.00
191202,1.9,-0.23
191302,1.9,-0.23
191402,2.08,-0.05
191502,2.77,0.64
191602,1.77,-0.36
191702,1.81,-0.32
191802,1.72,-0.41
191902,2.64,0.51
192002,1.61,-0.52
192102,1.77,-0.36
192202,2.44,0.31
192302,1.86,-0.27
192402,1.83,-0.30
192502,1.78,-0.35
192602,2.05,-0.08
192702,2.72,0.59
192802,1.84,-0.29
192902,2.02,-0.11
193002,1.74,-0.39
193102,1.84,-0.29
193202,2.23,0.10
193302,1.94,-0.19
193402,1.65,-0.48
193502,1.7,-0.43
193602,2.62,0.49
193702,2.22,0.09
193802,2.41,0.28
193902,2.93,0.80
194002,2.98,0.85
194102,1.77,-0.36
194202,2,-0.13
194302,1.25,-0.88
194402,2.66,0.53
194502,2.75,0.62
194602,2.06,-0.07
194702,1.03,-1.10
194802,2.54,0.41
194902,2.4,0.27
195002,2.23,0.10
195102,2.27,0.14
195202,2,-0.13
195302,2.06,-0.07
195402,1.49,-0.64
195502,2.22,0.09
195602,2.62,0.49
195702,2.08,-0.05
195802,2.43,0.30
195902,2.35,0.22
196002,2.59,0.46
196102,2.78,0.65
196202,2.55,0.42
196302,1.73,-0.40
196402,1.56,-0.57
196502,2.16,0.03
196602,2.34,0.21
196702,1.42,-0.71
196802,1.48,-0.65
196902,2.23,0.10
197002,1.63,-0.50
197102,2.37,0.24
197202,1.8,-0.33
197302,1.96,-0.17
197402,1.68,-0.45
197502,2.61,0.48
197602,1.89,-0.24
197702,1.23,-0.90
197802,1.77,-0.36
197902,2.6,0.47
198002,1.92,-0.21
198102,2.17,0.04
198202,2.23,0.10
198302,2.68,0.55
198402,2.11,-0.02
198502,2.1,-0.03
198602,2.82,0.69
198702,2.33,0.20
198802,1.52,-0.61
198902,2.01,-0.12
199002,2.68,0.55
199102,1.64,-0.49
199202,2.32,0.19
199302,2.18,0.05
199402,2.15,0.02
199502,1.6,-0.53
199602,1.89,-0.24
199702,2.39,0.26
199802,3.32,1.19
199902,1.92,-0.21
200002,2.12,-0.01
200102,2.21,0.08
200202,1.32,-0.81
200302,2.57,0.44
200402,2.45,0.32
200502,2.06,-0.07
200602,1.52,-0.61
200702,1.76,-0.37
200802,2.47,0.34
200902,1.55,-0.58
201002,2.01,-0.12
201102,1.98,-0.15
201202,1.85,-0.28
201302,2.02,-0.11
201402,2.25,0.12
201502,1.74,-0.39
