Contiguous U.S., Precipitation, January
Units: Inches
Base Period: 1901-2000
Date,Value,Anomaly
189501,3.32,1.01
189601,2.4,0.09
189701,2.39,0.08
189801,2.43,0.12
189901,2.61,0.30
190001,1.74,-0.57
190101,1.99,-0.32
190201,1.45,-0.86
190301,2.27,-0.04
190401,1.81,-0.50
190501,2.18,-0.13
190601,2.53,0.22
190701,2.75,0.44
190801,1.82,-0.49
190901,2.74,0.43
191001,2.15,-0.16
191101,2.44,0.13
191201,1.95,-0.36
191301,2.87,0.56
191401,2.5,0.19
191501,2.75,0.44
191601,3.79,1.48
191701,2.19,-0.12
191801,2.41,0.10
191901,1.91,-0.40
192001,2.21,-0.10
192101,2.11,-0.20
192201,2.03,-0.28
192301,2.44,0.13
192401,2,-0.31
192501,2.29,-0.02
192601,2.36,0.05
192701,1.77,-0.54
192801,1.28,-1.03
192901,2.36,0.05
193001,2.58,0.27
193101,1.56,-0.75
193201,3.25,0.94
193301,2.25,-0.06
193401,1.82,-0.49
193501,2.4,0.09
193601,2.88,0.57
193701,3.65,1.34
193801,2.11,-0.20
193901,2.49,0.18
194001,1.93,-0.38
194101,2.08,-0.23
194201,1.58,-0.73
194301,2.23,-0.08
194401,1.88,-0.43
194501,1.8,-0.51
194601,2.54,0.23
194701,2.43,0.12
194801,1.98,-0.33
194901,3.16,0.85
195001,3.36,1.05
195101,2.34,0.03
195201,2.44,0.13
195301,2.64,0.33
195401,2.54,0.23
195501,1.69,-0.62
195601,2.27,-0.04
195701,2.13,-0.18
195801,2.29,-0.02
195901,2.19,-0.12
196001,2.26,-0.05
196101,1.48,-0.83
196201,2.21,-0.10
196301,1.57,-0.74
196401,2.43,0.12
196501,2.34,0.03
196601,2.36,0.05
196701,2.15,-0.16
196801,2.17,-0.14
196901,3.01,0.70
197001,2.09,-0.22
197101,2.03,-0.28
197201,2.33,0.02
197301,2.48,0.17
197401,3.15,0.84
197501,2.61,0.30
197601,1.76,-0.55
197701,1.58,-0.73
197801,3.18,0.87
197901,3.31,1.00
198001,2.65,0.34
198101,.98,-1.33
198201,2.84,0.53
198301,2.08,-0.23
198401,1.35,-0.96
198501,1.42,-0.89
198601,1.45,-0.86
198701,2.17,-0.14
198801,1.97,-0.34
198901,2.05,-0.26
199001,2.79,0.48
199101,2.37,0.06
199201,2.08,-0.23
199301,3.2,0.89
199401,2.24,-0.07
199501,3.18,0.87
199601,2.82,0.51
199701,2.81,0.50
199801,3.36,1.05
199901,3.13,0.82
200001,2.14,-0.17
200101,1.85,-0.46
200201,2.01,-0.30
200301,1.33,-0.98
200401,1.97,-0.34
200501,2.7,0.39
200601,2.61,0.30
200701,2.22,-0.09
200801,2.21,-0.10
200901,1.6,-0.71
201001,2.62,0.31
201101,1.65,-0.66
201201,2.09,-0.22
201301,2.37,0.06
201401,1.37,-0.94
201501,1.83,-0.48
201601,2.07,-0.24
