Contiguous U.S., Maximum Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,52.07,-0.94
189603,49.42,-3.59
189703,49.32,-3.69
189803,52.36,-0.65
189903,48.87,-4.14
190003,53.01,0.00
190103,52.45,-0.56
190203,52.34,-0.67
190303,52.59,-0.42
190403,52.97,-0.04
190503,55.9,2.89
190603,46.29,-6.72
190703,57.11,4.10
190803,55.81,2.80
190903,51.35,-1.66
191003,63.1,10.09
191103,56.3,3.29
191203,46.2,-6.81
191303,50.27,-2.74
191403,52.56,-0.45
191503,47.39,-5.62
191603,54.63,1.62
191703,50.04,-2.97
191803,58.3,5.29
191903,52.18,-0.83
192003,51.91,-1.10
192103,58.57,5.56
192203,51.48,-1.53
192303,50.49,-2.52
192403,47.21,-5.80
192503,57.13,4.12
192603,51.21,-1.80
192703,53.26,0.25
192803,54.86,1.85
192903,54.97,1.96
193003,52.2,-0.81
193103,50.49,-2.52
193203,48.36,-4.65
193303,53.28,0.27
193403,55.94,2.93
193503,55.02,2.01
193603,55.51,2.50
193703,49.73,-3.28
193803,56.17,3.16
193903,54.79,1.78
194003,52.92,-0.09
194103,50.31,-2.70
194203,52.93,-0.08
194303,50.7,-2.31
194403,49.77,-3.24
194503,57.51,4.50
194603,58.86,5.85
194703,50.13,-2.88
194803,50.02,-2.99
194903,51.73,-1.28
195003,50.52,-2.49
195103,50.09,-2.92
195203,48.24,-4.77
195303,55.35,2.34
195403,50.74,-2.27
195503,52.34,-0.67
195603,53.49,0.48
195703,52,-1.01
195803,46.78,-6.23
195903,53.78,0.77
196003,47.21,-5.80
196103,54.41,1.40
196203,48.9,-4.11
196303,56.1,3.09
196403,50.86,-2.15
196503,46.6,-6.41
196603,55.51,2.50
196703,55.81,2.80
196803,55.96,2.95
196903,47.52,-5.49
197003,49.3,-3.71
197103,51.57,-1.44
197203,56.66,3.65
197303,54.27,1.26
197403,55.92,2.91
197503,49.5,-3.51
197603,54.41,1.40
197703,54.97,1.96
197803,52.7,-0.31
197903,53.08,0.07
198003,50.4,-2.61
198103,54.66,1.65
198203,52.83,-0.18
198303,52.03,-0.98
198403,50.99,-2.02
198503,54.93,1.92
198603,58.59,5.58
198703,53.87,0.86
198803,54.91,1.90
198903,54.46,1.45
199003,56.12,3.11
199103,54.73,1.72
199203,56.35,3.34
199303,52.57,-0.44
199403,56.82,3.81
199503,54.41,1.40
199603,51.12,-1.89
199703,57.09,4.08
199803,51.84,-1.17
199903,54.75,1.74
200003,58.08,5.07
200103,52.23,-0.78
200203,51.73,-1.28
200303,54.97,1.96
200403,59.25,6.24
200503,53.91,0.90
200603,53.73,0.72
200703,60.03,7.02
200803,54.07,1.06
200903,54.84,1.83
201003,55.11,2.10
201103,54.3,1.29
201203,62.85,9.84
201303,52.7,-0.31
201403,52.84,-0.17
201503,57.76,4.75
201603,59.43,6.42
