Contiguous U.S., Maximum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,66.33,2.85
189604,64.38,0.90
189704,63.43,-0.05
189804,63.54,0.06
189904,62.98,-0.50
190004,63.36,-0.12
190104,61.66,-1.82
190204,63.39,-0.09
190304,62.46,-1.02
190404,61.9,-1.58
190504,62.37,-1.11
190604,65.34,1.86
190704,59.52,-3.96
190804,65.68,2.20
190904,61.5,-1.98
191004,67.42,3.94
191104,62.11,-1.37
191204,62.28,-1.20
191304,64.45,0.97
191404,62.94,-0.54
191504,67.08,3.60
191604,62.49,-0.99
191704,60.46,-3.02
191804,61.3,-2.18
191904,63.55,0.07
192004,58.12,-5.36
192104,63.73,0.25
192204,61.83,-1.65
192304,62.02,-1.46
192404,62.8,-0.68
192504,67.66,4.18
192604,62.69,-0.79
192704,63.54,0.06
192804,60.49,-2.99
192904,63.07,-0.41
193004,67.75,4.27
193104,64.11,0.63
193204,64.18,0.70
193304,62.35,-1.13
193404,67.15,3.67
193504,61.02,-2.46
193604,63.3,-0.18
193704,62.22,-1.26
193804,64.06,0.58
193904,64.56,1.08
194004,62.19,-1.29
194104,63.63,0.15
194204,65.84,2.36
194304,66,2.52
194404,60.78,-2.70
194504,62.55,-0.93
194604,68.04,4.56
194704,63.01,-0.47
194804,66.04,2.56
194904,65.1,1.62
195004,61.18,-2.30
195104,62.06,-1.42
195204,64.53,1.05
195304,60.76,-2.72
195404,67.21,3.73
195504,65.59,2.11
195604,62.13,-1.35
195704,62.1,-1.38
195804,62.04,-1.44
195904,64.51,1.03
196004,65.32,1.84
196104,61,-2.48
196204,64.98,1.50
196304,64.15,0.67
196404,63.41,-0.07
196504,63.54,0.06
196604,62.38,-1.10
196704,62.82,-0.66
196804,63.19,-0.29
196904,65.28,1.80
197004,61.38,-2.10
197104,63.48,0.00
197204,63.46,-0.02
197304,60.24,-3.24
197404,64.29,0.81
197504,58.08,-5.40
197604,64.58,1.10
197704,67.59,4.11
197804,63.41,-0.07
197904,61.77,-1.71
198004,64.44,0.96
198104,67.89,4.41
198204,60.96,-2.52
198304,58.21,-5.27
198404,61.23,-2.25
198504,67.42,3.94
198604,65.44,1.96
198704,67.66,4.18
198804,65.28,1.80
198904,65.93,2.45
199004,64.99,1.51
199104,64.4,0.92
199204,64.96,1.48
199304,61.84,-1.64
199404,65.61,2.13
199504,61.5,-1.98
199604,63.72,0.24
199704,59.86,-3.62
199804,63.46,-0.02
199904,63.43,-0.05
200004,65.77,2.29
200104,65.43,1.95
200204,65.95,2.47
200304,64.27,0.79
200404,65.37,1.89
200504,65.16,1.68
200604,68.45,4.97
200704,62.83,-0.65
200804,63.46,-0.02
200904,63.41,-0.07
201004,66.15,2.67
201104,64.2,0.72
201204,67.64,4.16
201304,62.06,-1.42
201404,64.56,1.08
201504,65.84,2.36
