Contiguous U.S., Maximum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,78.73,0.92
189609,75.27,-2.54
189709,80.02,2.21
189809,78.69,0.88
189909,78.96,1.15
190009,77,-0.81
190109,75.7,-2.11
190209,75.97,-1.84
190309,75.67,-2.14
190409,77.74,-0.07
190509,78.85,1.04
190609,78.78,0.97
190709,77.13,-0.68
190809,79.5,1.69
190909,77.32,-0.49
191009,78.51,0.70
191109,78.35,0.54
191209,75,-2.81
191309,76.41,-1.40
191409,77.61,-0.20
191509,76.53,-1.28
191609,77.02,-0.79
191709,77.07,-0.74
191809,75.07,-2.74
191909,78.37,0.56
192009,78.17,0.36
192109,79.38,1.57
192209,81.5,3.69
192309,77.49,-0.32
192409,76.1,-1.71
192509,79.03,1.22
192609,76.28,-1.53
192709,77.45,-0.36
192809,77.02,-0.79
192909,75.83,-1.98
193009,78.93,1.12
193109,81.25,3.44
193209,78.42,0.61
193309,80.71,2.90
193409,76.93,-0.88
193509,78.24,0.43
193609,79.29,1.48
193709,79.11,1.30
193809,79.99,2.18
193909,81.23,3.42
194009,78.15,0.34
194109,76.91,-0.90
194209,76.82,-0.99
194309,78.37,0.56
194409,78.4,0.59
194509,77.95,0.14
194609,77.43,-0.38
194709,80.22,2.41
194809,80.04,2.23
194909,77.09,-0.72
195009,75.52,-2.29
195109,77.43,-0.38
195209,80.42,2.61
195309,81.37,3.56
195409,80.11,2.30
195509,79.56,1.75
195609,79.93,2.12
195709,77.38,-0.43
195809,77.95,0.14
195909,77.05,-0.76
196009,79.81,2.00
196109,75.67,-2.14
196209,77.05,-0.76
196309,79.27,1.46
196409,76.59,-1.22
196509,73.31,-4.50
196609,77.13,-0.68
196709,77.02,-0.79
196809,77.14,-0.67
196909,78.22,0.41
197009,77.27,-0.54
197109,76.64,-1.17
197209,76.62,-1.19
197309,76.35,-1.46
197409,75.36,-2.45
197509,75.78,-2.03
197609,77.2,-0.61
197709,77.77,-0.04
197809,78.28,0.47
197909,79.83,2.02
198009,79.11,1.30
198109,78.08,0.27
198209,76.03,-1.78
198309,78.73,0.92
198409,76.01,-1.80
198509,74.5,-3.31
198609,74.59,-3.22
198709,78.71,0.90
198809,77.61,-0.20
198909,76.95,-0.86
199009,80.37,2.56
199109,77.56,-0.25
199209,77.52,-0.29
199309,76.32,-1.49
199409,78.67,0.86
199509,77.54,-0.27
199609,75.42,-2.39
199709,78.93,1.12
199809,81.95,4.14
199909,77.94,0.13
200009,79.09,1.28
200109,78.84,1.03
200209,79.63,1.82
200309,77.86,0.05
200409,78.28,0.47
200509,80.83,3.02
200609,75.87,-1.94
200709,79.41,1.60
200809,77.99,0.18
200909,78.93,1.12
201009,79.79,1.98
201109,79.43,1.62
201209,80.08,2.27
201309,79.18,1.37
201409,78.26,0.45
201509,81.3,3.49
