Contiguous U.S., Maximum Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189508,84.9,-0.24
189608,85.39,0.25
189708,84.49,-0.65
189808,85.5,0.36
189908,84.76,-0.38
190008,85.84,0.70
190108,86.14,1.00
190208,84.42,-0.72
190308,83.46,-1.68
190408,83.55,-1.59
190508,85.33,0.19
190608,84.07,-1.07
190708,83.57,-1.57
190808,83.39,-1.75
190908,86.07,0.93
191008,84.49,-0.65
191108,84.02,-1.12
191208,82.35,-2.79
191308,86.95,1.81
191408,84.69,-0.45
191508,82.9,-2.24
191608,84.72,-0.42
191708,84.49,-0.65
191808,85.78,0.64
191908,85.66,0.52
192008,83.32,-1.82
192108,85.03,-0.11
192208,86.04,0.90
192308,83.79,-1.35
192408,85.82,0.68
192508,84.96,-0.18
192608,85.1,-0.04
192708,82.04,-3.10
192808,84.83,-0.31
192908,86.47,1.33
193008,86.52,1.38
193108,85.19,0.05
193208,85.78,0.64
193308,84.94,-0.20
193408,87.01,1.87
193508,86.14,1.00
193608,88.32,3.18
193708,88.23,3.09
193808,87.31,2.17
193908,86.4,1.26
194008,85.24,0.10
194108,84.74,-0.40
194208,84.56,-0.58
194308,86.99,1.85
194408,85.57,0.43
194508,85.28,0.14
194608,84.2,-0.94
194708,87.24,2.10
194808,85.51,0.37
194908,85.66,0.52
195008,83.53,-1.61
195108,84.87,-0.27
195208,86.16,1.02
195308,85.59,0.45
195408,85.33,0.19
195508,87.21,2.07
195608,85.3,0.16
195708,84.81,-0.33
195808,86.65,1.51
195908,86,0.86
196008,85.28,0.14
196108,85.53,0.39
196208,86.02,0.88
196308,84.94,-0.20
196408,83.62,-1.52
196508,83.77,-1.37
196608,83.59,-1.55
196708,84.65,-0.49
196808,82.72,-2.42
196908,86.88,1.74
197008,86.86,1.72
197108,85.05,-0.09
197208,84.4,-0.74
197308,85.71,0.57
197408,83.03,-2.11
197508,84.25,-0.89
197608,83.97,-1.17
197708,84.02,-1.12
197808,84.83,-0.31
197908,83.26,-1.88
198008,85.8,0.66
198108,84.96,-0.18
198208,84.56,-0.58
198308,87.96,2.82
198408,85.86,0.72
198508,83.84,-1.30
198608,84.58,-0.56
198708,84.6,-0.54
198808,86.86,1.72
198908,83.61,-1.53
199008,84.9,-0.24
199108,85.71,0.57
199208,82.35,-2.79
199308,84.22,-0.92
199408,85.23,0.09
199508,87.12,1.98
199608,85.21,0.07
199708,84.15,-0.99
199808,86.95,1.81
199908,85.93,0.79
200008,87.33,2.19
200108,87.42,2.28
200208,85.95,0.81
200308,87.42,2.28
200408,82.53,-2.61
200508,85.95,0.81
200608,86.13,0.99
200708,87.48,2.34
200808,84.94,-0.20
200908,84.6,-0.54
201008,86.83,1.69
201108,88.36,3.22
201208,87.39,2.25
201308,85.39,0.25
201408,84.22,-0.92
201508,85.78,0.64
