Contiguous U.S., Maximum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,36.86,-3.63
189601,41.41,0.92
189701,37.65,-2.84
189801,40.77,0.28
189901,39.88,-0.61
190001,44.26,3.77
190101,42.17,1.68
190201,40.93,0.44
190301,40.77,0.28
190401,38.77,-1.72
190501,36.82,-3.67
190601,43.38,2.89
190701,40.46,-0.03
190801,43.29,2.80
190901,42.39,1.90
191001,39.81,-0.68
191101,43.41,2.92
191201,35.38,-5.11
191301,41.45,0.96
191401,44.49,4.00
191501,38.52,-1.97
191601,38.28,-2.21
191701,39,-1.49
191801,34.47,-6.02
191901,42.73,2.24
192001,39.31,-1.18
192101,44.47,3.98
192201,37.24,-3.25
192301,45.09,4.60
192401,37.69,-2.80
192501,39.87,-0.62
192601,40.48,-0.01
192701,41.88,1.39
192801,42.84,2.35
192901,37.13,-3.36
193001,33.78,-6.71
193101,43.63,3.14
193201,41.07,0.58
193301,44.92,4.43
193401,45.7,5.21
193501,42.17,1.68
193601,37.56,-2.93
193701,34.93,-5.56
193801,42.13,1.64
193901,44.02,3.53
194001,33.57,-6.92
194101,41.56,1.07
194201,40.82,0.33
194301,40.35,-0.14
194401,42.91,2.42
194501,40.46,-0.03
194601,41.95,1.46
194701,42.31,1.82
194801,38.98,-1.51
194901,35.73,-4.76
195001,41.32,0.83
195101,41.14,0.65
195201,42.28,1.79
195301,46.85,6.36
195401,41.74,1.25
195501,39.27,-1.22
195601,41.14,0.65
195701,37.17,-3.32
195801,41.79,1.30
195901,40.46,-0.03
196001,38.75,-1.74
196101,41.25,0.76
196201,37.83,-2.66
196301,35.91,-4.58
196401,42.89,2.40
196501,42.35,1.86
196601,36.37,-4.12
196701,43.88,3.39
196801,39.29,-1.20
196901,38.91,-1.58
197001,37.26,-3.23
197101,39.99,-0.50
197201,40.95,0.46
197301,39.34,-1.15
197401,40.69,0.20
197501,42.87,2.38
197601,41.47,0.98
197701,33.66,-6.83
197801,34.84,-5.65
197901,31.26,-9.23
198001,40.37,-0.12
198101,43.54,3.05
198201,37.33,-3.16
198301,42.35,1.86
198401,38.97,-1.52
198501,36.43,-4.06
198601,46.04,5.55
198701,41.52,1.03
198801,38.14,-2.35
198901,45.14,4.65
199001,47.16,6.67
199101,39.25,-1.24
199201,43.52,3.03
199301,39.61,-0.88
199401,39.78,-0.71
199501,42.17,1.68
199601,40.78,0.29
199701,39.81,-0.68
199801,44.31,3.82
199901,44.46,3.97
200001,44.2,3.71
200101,41.41,0.92
200201,45.07,4.58
200301,43.38,2.89
200401,40.44,-0.05
200501,42.87,2.38
200601,49.64,9.15
200701,41.4,0.91
200801,40.77,0.28
200901,42.31,1.82
201001,40.03,-0.46
201101,40.05,-0.44
201201,47.59,7.10
201301,42.71,2.22
201401,42.44,1.95
201501,43.27,2.78
201601,41.86,1.37
