Contiguous U.S., Maximum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,42.08,-0.68
189612,45.79,3.03
189712,40.62,-2.14
189812,38.93,-3.83
189912,41.52,-1.24
190012,44.67,1.91
190112,41.95,-0.81
190212,40.19,-2.57
190312,42.01,-0.75
190412,42.51,-0.25
190512,40.91,-1.85
190612,44.24,1.48
190712,44.62,1.86
190812,43.39,0.63
190912,34.79,-7.97
191012,41.97,-0.79
191112,41.81,-0.95
191212,43.45,0.69
191312,42.51,-0.25
191412,35.62,-7.14
191512,43.23,0.47
191612,39.87,-2.89
191712,40.62,-2.14
191812,43.74,0.98
191912,39.18,-3.58
192012,42.73,-0.03
192112,45.36,2.60
192212,43.61,0.85
192312,45.63,2.87
192412,37.85,-4.91
192512,42.26,-0.50
192612,40.87,-1.89
192712,38.61,-4.15
192812,43.38,0.62
192912,44.69,1.93
193012,41,-1.76
193112,44.26,1.50
193212,39.49,-3.27
193312,47.39,4.63
193412,42.42,-0.34
193512,40.23,-2.53
193612,44.35,1.59
193712,41.95,-0.81
193812,44.56,1.80
193912,48.83,6.07
194012,45.66,2.90
194112,45.66,2.90
194212,42.84,0.08
194312,42.93,0.17
194412,40.71,-2.05
194512,38.84,-3.92
194612,46.78,4.02
194712,42.96,0.20
194812,42.75,-0.01
194912,44.11,1.35
195012,43.75,0.99
195112,41.38,-1.38
195212,42.76,0.00
195312,43.95,1.19
195412,44.47,1.71
195512,41.88,-0.88
195612,47.26,4.50
195712,47.77,5.01
195812,43.34,0.58
195912,45.93,3.17
196012,40.69,-2.07
196112,40.69,-2.07
196212,44.1,1.34
196312,38.32,-4.44
196412,41.72,-1.04
196512,45.72,2.96
196612,42.6,-0.16
196712,41.79,-0.97
196812,40.15,-2.61
196912,43.11,0.35
197012,44.1,1.34
197112,43.23,0.47
197212,39.4,-3.36
197312,43.77,1.01
197412,43.3,0.54
197512,44.55,1.79
197612,43.16,0.40
197712,43.25,0.49
197812,40.24,-2.52
197912,47.14,4.38
198012,46.17,3.41
198112,43.45,0.69
198212,45.05,2.29
198312,34.43,-8.33
198412,44.46,1.70
198512,39.47,-3.29
198612,43.72,0.96
198712,43.92,1.16
198812,44.51,1.75
198912,38.89,-3.87
199012,41.86,-0.90
199112,45.37,2.61
199212,40.87,-1.89
199312,44.02,1.26
199412,45.7,2.94
199512,43.29,0.53
199612,43.68,0.92
199712,43.05,0.29
199812,45.99,3.23
199912,47.1,4.34
200012,38.53,-4.23
200112,46.17,3.41
200212,44.87,2.11
200312,45.45,2.69
200412,45.52,2.76
200512,42.78,0.02
200612,47.1,4.34
200712,42.98,0.22
200812,42.6,-0.16
200912,38.98,-3.78
201012,42.03,-0.73
201112,45.52,2.76
201212,45.82,3.06
201312,41.52,-1.24
201412,45.34,2.58
201512,48.13,5.37
