Contiguous U.S., Maximum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,80.89,-0.45
189606,83.26,1.92
189706,80.91,-0.43
189806,81.97,0.63
189906,81.54,0.20
190006,83.53,2.19
190106,81.41,0.07
190206,81.18,-0.16
190306,78.1,-3.24
190406,79.93,-1.41
190506,80.38,-0.96
190606,79.97,-1.37
190706,78.17,-3.17
190806,79.57,-1.77
190906,81.46,0.12
191006,81.9,0.56
191106,84.25,2.91
191206,79.7,-1.64
191306,81.14,-0.20
191406,81.99,0.65
191506,78.71,-2.63
191606,79.2,-2.14
191706,80.78,-0.56
191806,84.67,3.33
191906,82.42,1.08
192006,80.04,-1.30
192106,82.98,1.64
192206,83.35,2.01
192306,80.35,-0.99
192406,81.91,0.57
192506,82.69,1.35
192606,81.79,0.45
192706,79.56,-1.78
192806,77.97,-3.37
192906,80.74,-0.60
193006,82.11,0.77
193106,84.24,2.90
193206,82.11,0.77
193306,85.95,4.61
193406,84.36,3.02
193506,80.46,-0.88
193606,84.6,3.26
193706,81.43,0.09
193806,81.54,0.20
193906,81.55,0.21
194006,82.98,1.64
194106,79.83,-1.51
194206,80.28,-1.06
194306,81.01,-0.33
194406,80.92,-0.42
194506,78.26,-3.08
194606,81.59,0.25
194706,78.85,-2.49
194806,81.54,0.20
194906,81.95,0.61
195006,81.16,-0.18
195106,79.32,-2.02
195206,84.04,2.70
195306,83.37,2.03
195406,81.86,0.52
195506,79.41,-1.93
195606,83.97,2.63
195706,81,-0.34
195806,80.53,-0.81
195906,83.01,1.67
196006,82.38,1.04
196106,83.03,1.69
196206,80.64,-0.70
196306,81.36,0.02
196406,80.69,-0.65
196506,79.07,-2.27
196606,81.18,-0.16
196706,79.52,-1.82
196806,81.34,0.00
196906,79.14,-2.20
197006,81.55,0.21
197106,82.36,1.02
197206,81.07,-0.27
197306,81.82,0.48
197406,82.15,0.81
197506,79.88,-1.46
197606,80.94,-0.40
197706,83.55,2.21
197806,82.09,0.75
197906,81.07,-0.27
198006,82.06,0.72
198106,82.26,0.92
198206,78.58,-2.76
198306,79.65,-1.69
198406,81.14,-0.20
198506,81.28,-0.06
198606,83.16,1.82
198706,83.28,1.94
198806,85.03,3.69
198906,80.6,-0.74
199006,83.25,1.91
199106,81.3,-0.04
199206,79.77,-1.57
199306,79.27,-2.07
199406,83.93,2.59
199506,79.84,-1.50
199606,82.65,1.31
199706,80.42,-0.92
199806,80.35,-0.99
199906,80.37,-0.97
200006,81.59,0.25
200106,82.02,0.68
200206,83.98,2.64
200306,80.53,-0.81
200406,80.38,-0.96
200506,81.48,0.14
200606,84.09,2.75
200706,82.92,1.58
200806,82.63,1.29
200906,80.56,-0.78
201006,82.58,1.24
201106,82.71,1.37
201206,84.2,2.86
201306,82.99,1.65
201406,81.81,0.47
201506,83.62,2.28
