Contiguous U.S., Maximum Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189507,83.91,-2.77
189607,86,-0.68
189707,86.41,-0.27
189807,86.25,-0.43
189907,86.25,-0.43
190007,86.16,-0.52
190107,89.96,3.28
190207,84.97,-1.71
190307,84.79,-1.89
190407,84.16,-2.52
190507,84.58,-2.10
190607,85.15,-1.53
190707,85.24,-1.44
190807,86.18,-0.50
190907,85.24,-1.44
191007,87.64,0.96
191107,85.8,-0.88
191207,84.6,-2.08
191307,86.02,-0.66
191407,87.28,0.60
191507,83.26,-3.42
191607,87.1,0.42
191707,88,1.32
191807,85.78,-0.90
191907,87.53,0.85
192007,86.04,-0.64
192107,87.6,0.92
192207,86.13,-0.55
192307,86.58,-0.10
192407,85.39,-1.29
192507,87.44,0.76
192607,86.83,0.15
192707,85.87,-0.81
192807,86.14,-0.54
192907,86.92,0.24
193007,89.13,2.45
193107,89.53,2.85
193207,87.4,0.72
193307,88.75,2.07
193407,90.55,3.87
193507,88.34,1.66
193607,90.84,4.16
193707,87.87,1.19
193807,86.65,-0.03
193907,88.59,1.91
194007,87.58,0.90
194107,86.92,0.24
194207,87.31,0.63
194307,87.75,1.07
194407,86.58,-0.10
194507,86.07,-0.61
194607,87.15,0.47
194707,86.5,-0.18
194807,86.32,-0.36
194907,87.1,0.42
195007,83.62,-3.06
195107,86.9,0.22
195207,87.85,1.17
195307,87.46,0.78
195407,89.29,2.61
195507,87.24,0.56
195607,86.2,-0.48
195707,87.53,0.85
195807,85.06,-1.62
195907,87.08,0.40
196007,87.49,0.81
196107,86.29,-0.39
196207,84.97,-1.71
196307,86.85,0.17
196407,87.91,1.23
196507,85.42,-1.26
196607,88.41,1.73
196707,85.26,-1.42
196807,85.78,-0.90
196907,86.77,0.09
197007,87.21,0.53
197107,85.51,-1.17
197207,84.94,-1.74
197307,86.18,-0.50
197407,87.49,0.81
197507,86.13,-0.55
197607,85.86,-0.82
197707,87.49,0.81
197807,86.92,0.24
197907,85.77,-0.91
198007,89.53,2.85
198107,86.54,-0.14
198207,85.62,-1.06
198307,86.97,0.29
198407,86.07,-0.61
198507,87.33,0.65
198607,86.09,-0.59
198707,85.82,-0.86
198807,88.18,1.50
198907,87.03,0.35
199007,85.75,-0.93
199107,86.63,-0.05
199207,83.03,-3.65
199307,84.02,-2.66
199407,86.47,-0.21
199507,86.45,-0.23
199607,86.29,-0.39
199707,85.84,-0.84
199807,88.07,1.39
199907,86.86,0.18
200007,86.92,0.24
200107,87.1,0.42
200207,88.79,2.11
200307,88.7,2.02
200407,85.26,-1.42
200507,88.5,1.82
200607,89.58,2.90
200707,87.44,0.76
200807,87.04,0.36
200907,85.32,-1.36
201007,87.01,0.33
201107,88.9,2.22
201207,89.96,3.28
201307,86.43,-0.25
201407,85.8,-0.88
201507,85.98,-0.70
