Contiguous U.S., Maximum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,37.65,-7.17
189602,46.56,1.74
189702,43.29,-1.53
189802,46.76,1.94
189902,36.36,-8.46
190002,42.15,-2.67
190102,40.24,-4.58
190202,41.86,-2.96
190302,39.2,-5.62
190402,43.3,-1.52
190502,37.35,-7.47
190602,44.94,0.12
190702,47.07,2.25
190802,43.52,-1.30
190902,46.15,1.33
191002,40.8,-4.02
191102,44.08,-0.74
191202,41.99,-2.83
191302,40.41,-4.41
191402,40.82,-4.00
191502,45.54,0.72
191602,44.38,-0.44
191702,41.9,-2.92
191802,45.88,1.06
191902,42.15,-2.67
192002,44.06,-0.76
192102,48.29,3.47
192202,42.91,-1.91
192302,40.77,-4.05
192402,46.15,1.33
192502,49.75,4.93
192602,48.56,3.74
192702,48.29,3.47
192802,45.3,0.48
192902,37.87,-6.95
193002,51.64,6.82
193102,48.51,3.69
193202,47.61,2.79
193302,41.4,-3.42
193402,46.2,1.38
193502,47.01,2.19
193602,36.25,-8.57
193702,42.49,-2.33
193802,46.22,1.40
193902,41.58,-3.24
194002,43.43,-1.39
194102,43.63,-1.19
194202,41,-3.82
194302,48.94,4.12
194402,45.09,0.27
194502,45.79,0.97
194602,47.25,2.43
194702,43.11,-1.71
194802,42.48,-2.34
194902,42.93,-1.89
195002,47.1,2.28
195102,46.08,1.26
195202,46.22,1.40
195302,47.21,2.39
195402,53.85,9.03
195502,42.39,-2.43
195602,43.23,-1.59
195702,48.54,3.72
195802,42.1,-2.72
195902,43.23,-1.59
196002,40.46,-4.36
196102,48.51,3.69
196202,45.68,0.86
196302,46.18,1.36
196402,43.39,-1.43
196502,44.22,-0.60
196602,41.9,-2.92
196702,44.98,0.16
196802,43.84,-0.98
196902,42.48,-2.34
197002,47.37,2.55
197102,44.6,-0.22
197202,45.25,0.43
197302,44.04,-0.78
197402,46.76,1.94
197502,43.07,-1.75
197602,51.62,6.80
197702,48.51,3.69
197802,37.83,-6.99
197902,38.68,-6.14
198002,43.3,-1.52
198102,48.45,3.63
198202,43.38,-1.44
198302,46.53,1.71
198402,48.85,4.03
198502,41.68,-3.14
198602,45.95,1.13
198702,47.62,2.80
198802,45.64,0.82
198902,39.54,-5.28
199002,48.15,3.33
199102,51.6,6.78
199202,50.07,5.25
199302,41.31,-3.51
199402,43.07,-1.75
199502,48.79,3.97
199602,47.16,2.34
199702,46.08,1.26
199802,47.82,3.00
199902,50.76,5.94
200002,51.19,6.37
200102,44.46,-0.36
200202,48.54,3.72
200302,43.14,-1.68
200402,43.77,-1.05
200502,48.15,3.33
200602,46.69,1.87
200702,42.89,-1.93
200802,46.02,1.20
200902,48.51,3.69
201002,41.16,-3.66
201102,44.42,-0.40
201202,48.07,3.25
201302,45.46,0.64
201402,43.02,-1.80
201502,44.38,-0.44
201602,50.79,5.97
