Contiguous U.S., Maximum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,72.81,-0.15
189605,74.77,1.81
189705,74.61,1.65
189805,72.05,-0.91
189905,72.23,-0.73
190005,74.89,1.93
190105,74.1,1.14
190205,74.41,1.45
190305,71.91,-1.05
190405,73.02,0.06
190505,70.81,-2.15
190605,71.98,-0.98
190705,68.14,-4.82
190805,70.97,-1.99
190905,71.04,-1.92
191005,72.43,-0.53
191105,74.73,1.77
191205,73.06,0.10
191305,73.24,0.28
191405,74.05,1.09
191505,69.76,-3.20
191605,72.21,-0.75
191705,67.24,-5.72
191805,73.81,0.85
191905,72.61,-0.35
192005,71.78,-1.18
192105,72.54,-0.42
192205,73.72,0.76
192305,72.3,-0.66
192405,71.29,-1.67
192505,73.65,0.69
192605,74.43,1.47
192705,71.96,-1.00
192805,75.06,2.10
192905,71.64,-1.32
193005,71.51,-1.45
193105,72.88,-0.08
193205,73.4,0.44
193305,71.92,-1.04
193405,79.25,6.29
193505,68.92,-4.04
193605,77.14,4.18
193705,75.38,2.42
193805,72.07,-0.89
193905,76.46,3.50
194005,74.55,1.59
194105,75.25,2.29
194205,71.55,-1.41
194305,72.21,-0.75
194405,74.98,2.02
194505,71.17,-1.79
194605,71.26,-1.70
194705,73.2,0.24
194805,73.2,0.24
194905,74.55,1.59
195005,72.27,-0.69
195105,74.01,1.05
195205,73.71,0.75
195305,71.35,-1.61
195405,71.46,-1.50
195505,74.26,1.30
195605,74.66,1.70
195705,71.19,-1.77
195805,76.03,3.07
195905,73.13,0.17
196005,72.41,-0.55
196105,71.69,-1.27
196205,74.91,1.95
196305,73.96,1.00
196405,74.43,1.47
196505,73.4,0.44
196605,73.81,0.85
196705,70.48,-2.48
196805,70.63,-2.33
196905,74.71,1.75
197005,74.41,1.45
197105,71.19,-1.77
197205,73.44,0.48
197305,72.21,-0.75
197405,72.9,-0.06
197505,72.93,-0.03
197605,72.25,-0.71
197705,74.1,1.14
197805,71.87,-1.09
197905,71.47,-1.49
198005,72.73,-0.23
198105,71.1,-1.86
198205,73.15,0.19
198305,70.54,-2.42
198405,72.97,0.01
198505,75.16,2.20
198605,73.72,0.76
198705,75.36,2.40
198805,74.95,1.99
198905,73.17,0.21
199005,70.9,-2.06
199105,73.54,0.58
199205,74.28,1.32
199305,73.38,0.42
199405,73.49,0.53
199505,70.07,-2.89
199605,72.95,-0.01
199705,72.28,-0.68
199805,75.15,2.19
199905,72.73,-0.23
200005,75.99,3.03
200105,76.12,3.16
200205,72.46,-0.50
200305,73.22,0.26
200405,74.37,1.41
200505,72,-0.96
200605,75.49,2.53
200705,75.36,2.40
200805,72.14,-0.82
200905,74.17,1.21
201005,72.01,-0.95
201105,71.19,-1.77
201205,76.64,3.68
201305,73.53,0.57
201405,74.1,1.14
201505,72.54,-0.42
