year,value,anomaly,month,state
1925,1.64,-1.09,01,AK
1926,4.41,1.68,01,AK
1927,3.17,0.44,01,AK
1928,3.63,0.90,01,AK
1929,3.9,1.17,01,AK
1930,1.57,-1.16,01,AK
1931,2.92,0.19,01,AK
1932,3.82,1.09,01,AK
1933,2.68,-0.05,01,AK
1934,2.89,0.16,01,AK
1935,3.21,0.48,01,AK
1936,1.98,-0.75,01,AK
1937,4.34,1.61,01,AK
1938,2.75,0.02,01,AK
1939,2.96,0.23,01,AK
1940,2.77,0.04,01,AK
1941,2.41,-0.32,01,AK
1942,2.77,0.04,01,AK
1943,2.47,-0.26,01,AK
1944,3.11,0.38,01,AK
1945,2.66,-0.07,01,AK
1946,2.59,-0.14,01,AK
1947,3.27,0.54,01,AK
1948,3.8,1.07,01,AK
1949,4.8,2.07,01,AK
1950,1.9,-0.83,01,AK
1951,2.13,-0.60,01,AK
1952,2.82,0.09,01,AK
1953,1.44,-1.29,01,AK
1954,1.97,-0.76,01,AK
1955,3.32,0.59,01,AK
1956,1.44,-1.29,01,AK
1957,3.19,0.46,01,AK
1958,3.13,0.40,01,AK
1959,1.2,-1.53,01,AK
1960,3.3,0.57,01,AK
1961,2.52,-0.21,01,AK
1962,3.61,0.88,01,AK
1963,3.98,1.25,01,AK
1964,2.12,-0.61,01,AK
1965,2.79,0.06,01,AK
1966,1.39,-1.34,01,AK
1967,2.11,-0.62,01,AK
1968,2.29,-0.44,01,AK
1969,1.14,-1.59,01,AK
1970,1.61,-1.12,01,AK
1971,1.89,-0.84,01,AK
1972,2.41,-0.32,01,AK
1973,2.43,-0.30,01,AK
1974,1.21,-1.52,01,AK
1975,2.53,-0.20,01,AK
1976,3.24,0.51,01,AK
1977,3.07,0.34,01,AK
1978,1.61,-1.12,01,AK
1979,1.81,-0.92,01,AK
1980,3.03,0.30,01,AK
1981,4.24,1.51,01,AK
1982,2.09,-0.64,01,AK
1983,2.42,-0.31,01,AK
1984,3.83,1.10,01,AK
1985,4.3,1.57,01,AK
1986,3.39,0.66,01,AK
1987,3.64,0.91,01,AK
1988,2.01,-0.72,01,AK
1989,3.07,0.34,01,AK
1990,2.92,0.19,01,AK
1991,2.58,-0.15,01,AK
1992,3.59,0.86,01,AK
1993,3.75,1.02,01,AK
1994,2.72,-0.01,01,AK
1995,1.76,-0.97,01,AK
1996,1.52,-1.21,01,AK
1997,2.37,-0.36,01,AK
1998,1.61,-1.12,01,AK
1999,3.14,0.41,01,AK
2000,3.54,0.81,01,AK
2001,4.54,1.81,01,AK
2002,3.58,0.85,01,AK
2003,2.62,-0.11,01,AK
2004,2,-0.73,01,AK
2005,2.74,0.01,01,AK
2006,1.62,-1.11,01,AK
2007,3.29,0.56,01,AK
2008,2.82,0.09,01,AK
2009,4.05,1.32,01,AK
2010,1.93,-0.80,01,AK
2011,2.56,-0.17,01,AK
2012,2.79,0.06,01,AK
2013,3.51,0.78,01,AK
2014,4.34,1.61,01,AK
2015,3.17,0.44,01,AK
2016,2.76,0.03,01,AK
1925,1.48,-0.84,02,AK
1926,1.83,-0.49,02,AK
1927,2.31,-0.01,02,AK
1928,3.9,1.58,02,AK
1929,3.93,1.61,02,AK
1930,2.15,-0.17,02,AK
1931,2.67,0.35,02,AK
1932,4.18,1.86,02,AK
1933,1.81,-0.51,02,AK
1934,2.18,-0.14,02,AK
1935,3.76,1.44,02,AK
1936,1.56,-0.76,02,AK
1937,1.84,-0.48,02,AK
1938,2.23,-0.09,02,AK
1939,2.36,0.04,02,AK
1940,1.11,-1.21,02,AK
1941,2.09,-0.23,02,AK
1942,2.63,0.31,02,AK
1943,2.96,0.64,02,AK
1944,2.56,0.24,02,AK
1945,2.86,0.54,02,AK
1946,2.09,-0.23,02,AK
1947,1.82,-0.50,02,AK
1948,1.52,-0.80,02,AK
1949,2.01,-0.31,02,AK
1950,1.14,-1.18,02,AK
1951,2.47,0.15,02,AK
1952,1.79,-0.53,02,AK
1953,3.7,1.38,02,AK
1954,2.43,0.11,02,AK
1955,2.9,0.58,02,AK
1956,2.83,0.51,02,AK
1957,2.07,-0.25,02,AK
1958,1.16,-1.16,02,AK
1959,2.92,0.60,02,AK
1960,1.9,-0.42,02,AK
1961,2.04,-0.28,02,AK
1962,1.44,-0.88,02,AK
1963,2.6,0.28,02,AK
1964,4.26,1.94,02,AK
1965,2.08,-0.24,02,AK
1966,2.4,0.08,02,AK
1967,2.51,0.19,02,AK
1968,2.97,0.65,02,AK
1969,1.34,-0.98,02,AK
1970,2.55,0.23,02,AK
1971,2.7,0.38,02,AK
1972,1.26,-1.06,02,AK
1973,1.58,-0.74,02,AK
1974,2.57,0.25,02,AK
1975,2.05,-0.27,02,AK
1976,1.78,-0.54,02,AK
1977,3.15,0.83,02,AK
1978,2.19,-0.13,02,AK
1979,.72,-1.60,02,AK
1980,2.69,0.37,02,AK
1981,2.71,0.39,02,AK
1982,1.39,-0.93,02,AK
1983,1.63,-0.69,02,AK
1984,2.65,0.33,02,AK
1985,2.62,0.30,02,AK
1986,2.07,-0.25,02,AK
1987,2.06,-0.26,02,AK
1988,3.02,0.70,02,AK
1989,1.64,-0.68,02,AK
1990,2.72,0.40,02,AK
1991,2.79,0.47,02,AK
1992,2.69,0.37,02,AK
1993,2.84,0.52,02,AK
1994,1.29,-1.03,02,AK
1995,1.96,-0.36,02,AK
1996,4.33,2.01,02,AK
1997,3.11,0.79,02,AK
1998,1.57,-0.75,02,AK
1999,1.51,-0.81,02,AK
2000,1.94,-0.38,02,AK
2001,3.03,0.71,02,AK
2002,2.53,0.21,02,AK
2003,3.28,0.96,02,AK
2004,2.63,0.31,02,AK
2005,2.75,0.43,02,AK
2006,2.56,0.24,02,AK
2007,.99,-1.33,02,AK
2008,2.23,-0.09,02,AK
2009,2.66,0.34,02,AK
2010,1.6,-0.72,02,AK
2011,2.86,0.54,02,AK
2012,2.74,0.42,02,AK
2013,2.84,0.52,02,AK
2014,1.04,-1.28,02,AK
2015,1.84,-0.48,02,AK
2016,2.38,0.06,02,AK
1925,2.51,0.28,03,AK
1926,3.22,0.99,03,AK
1927,2.77,0.54,03,AK
1928,2.52,0.29,03,AK
1929,3.09,0.86,03,AK
1930,3.82,1.59,03,AK
1931,1.66,-0.57,03,AK
1932,1.33,-0.90,03,AK
1933,1.81,-0.42,03,AK
1934,2.09,-0.14,03,AK
1935,3.26,1.03,03,AK
1936,2.79,0.56,03,AK
1937,1.47,-0.76,03,AK
1938,1.84,-0.39,03,AK
1939,2.11,-0.12,03,AK
1940,1.95,-0.28,03,AK
1941,2.74,0.51,03,AK
1942,2.02,-0.21,03,AK
1943,1.92,-0.31,03,AK
1944,2.89,0.66,03,AK
1945,2.4,0.17,03,AK
1946,2.68,0.45,03,AK
1947,2.72,0.49,03,AK
1948,2.47,0.24,03,AK
1949,2.33,0.10,03,AK
1950,1.21,-1.02,03,AK
1951,2.03,-0.20,03,AK
1952,2.03,-0.20,03,AK
1953,1.71,-0.52,03,AK
1954,2.58,0.35,03,AK
1955,3.03,0.80,03,AK
1956,1.99,-0.24,03,AK
1957,1.4,-0.83,03,AK
1958,1.57,-0.66,03,AK
1959,2.15,-0.08,03,AK
1960,1.63,-0.60,03,AK
1961,1.6,-0.63,03,AK
1962,2.33,0.10,03,AK
1963,3.62,1.39,03,AK
1964,2.39,0.16,03,AK
1965,2.81,0.58,03,AK
1966,2.21,-0.02,03,AK
1967,2.37,0.14,03,AK
1968,1.74,-0.49,03,AK
1969,1.86,-0.37,03,AK
1970,2.66,0.43,03,AK
1971,1.66,-0.57,03,AK
1972,1.91,-0.32,03,AK
1973,2.16,-0.07,03,AK
1974,1.14,-1.09,03,AK
1975,1.48,-0.75,03,AK
1976,2.45,0.22,03,AK
1977,2.38,0.15,03,AK
1978,1.39,-0.84,03,AK
1979,3.33,1.10,03,AK
1980,2.07,-0.16,03,AK
1981,2.67,0.44,03,AK
1982,2.3,0.07,03,AK
1983,.8,-1.43,03,AK
1984,1.91,-0.32,03,AK
1985,3.19,0.96,03,AK
1986,1.88,-0.35,03,AK
1987,1.43,-0.80,03,AK
1988,3,0.77,03,AK
1989,1.02,-1.21,03,AK
1990,2.98,0.75,03,AK
1991,3.23,1.00,03,AK
1992,3.14,0.91,03,AK
1993,1.85,-0.38,03,AK
1994,3.36,1.13,03,AK
1995,1.79,-0.44,03,AK
1996,2.03,-0.20,03,AK
1997,1.29,-0.94,03,AK
1998,1.79,-0.44,03,AK
1999,2.07,-0.16,03,AK
2000,2.55,0.32,03,AK
2001,2.47,0.24,03,AK
2002,1.43,-0.80,03,AK
2003,1.92,-0.31,03,AK
2004,2.39,0.16,03,AK
2005,2.54,0.31,03,AK
2006,1.39,-0.84,03,AK
2007,1.88,-0.35,03,AK
2008,2.63,0.40,03,AK
2009,2.57,0.34,03,AK
2010,2.61,0.38,03,AK
2011,.83,-1.40,03,AK
2012,1.82,-0.41,03,AK
2013,1.74,-0.49,03,AK
2014,1.53,-0.70,03,AK
2015,2.26,0.03,03,AK
1925,1.9,0.01,04,AK
1926,2.64,0.75,04,AK
1927,1.88,-0.01,04,AK
1928,1.51,-0.38,04,AK
1929,2.18,0.29,04,AK
1930,1.96,0.07,04,AK
1931,1.62,-0.27,04,AK
1932,.84,-1.05,04,AK
1933,1.73,-0.16,04,AK
1934,2.27,0.38,04,AK
1935,2.19,0.30,04,AK
1936,1.4,-0.49,04,AK
1937,2.33,0.44,04,AK
1938,1.88,-0.01,04,AK
1939,2.21,0.32,04,AK
1940,1.7,-0.19,04,AK
1941,3.03,1.14,04,AK
