year,value,anomaly,month,state
1925,-18.3,-13.5,01,AK
1926,9,13.8,01,AK
1927,-2.2,2.6,01,AK
1928,.6,5.4,01,AK
1929,5.5,10.3,01,AK
1930,2.1,6.9,01,AK
1931,1.4,6.2,01,AK
1932,-14.6,-9.8,01,AK
1933,-17.1,-12.3,01,AK
1934,-19.4,-14.6,01,AK
1935,-6.4,-1.6,01,AK
1936,-1.5,3.3,01,AK
1937,7.3,12.1,01,AK
1938,-11.3,-6.5,01,AK
1939,-8.5,-3.7,01,AK
1940,1.3,6.1,01,AK
1941,-8.2,-3.4,01,AK
1942,4.6,9.4,01,AK
1943,-15.2,-10.4,01,AK
1944,-3.9,0.9,01,AK
1945,7.6,12.4,01,AK
1946,0,4.8,01,AK
1947,-17.8,-13.0,01,AK
1948,-3.4,1.4,01,AK
1949,-5.1,-0.3,01,AK
1950,-2.1,2.7,01,AK
1951,-13.8,-9.0,01,AK
1952,-12.1,-7.3,01,AK
1953,-11.7,-6.9,01,AK
1954,-11.2,-6.4,01,AK
1955,1.7,6.5,01,AK
1956,-13.7,-8.9,01,AK
1957,2.6,7.4,01,AK
1958,-2.6,2.2,01,AK
1959,-9.3,-4.5,01,AK
1960,-1.8,3.0,01,AK
1961,3.5,8.3,01,AK
1962,-4.5,0.3,01,AK
1963,5,9.8,01,AK
1964,-6.6,-1.8,01,AK
1965,-9.1,-4.3,01,AK
1966,-8.8,-4.0,01,AK
1967,-6.8,-2.0,01,AK
1968,-4.7,0.1,01,AK
1969,-10.9,-6.1,01,AK
1970,-13,-8.2,01,AK
1971,-19.6,-14.8,01,AK
1972,-11.4,-6.6,01,AK
1973,-13.6,-8.8,01,AK
1974,-9.3,-4.5,01,AK
1975,-11.5,-6.7,01,AK
1976,-5.6,-0.8,01,AK
1977,11.8,16.6,01,AK
1978,6.7,11.5,01,AK
1979,4.3,9.1,01,AK
1980,-9.8,-5.0,01,AK
1981,13.7,18.5,01,AK
1982,-8.3,-3.5,01,AK
1983,-7.7,-2.9,01,AK
1984,-3.5,1.3,01,AK
1985,12.9,17.7,01,AK
1986,-.2,4.6,01,AK
1987,1.7,6.5,01,AK
1988,1.3,6.1,01,AK
1989,-18.9,-14.1,01,AK
1990,-8.2,-3.4,01,AK
1991,-3.2,1.6,01,AK
1992,.7,5.5,01,AK
1993,-4,0.8,01,AK
1994,1.7,6.5,01,AK
1995,-1.5,3.3,01,AK
1996,-8.9,-4.1,01,AK
1997,-7.2,-2.4,01,AK
1998,-5.9,-1.1,01,AK
1999,-11,-6.2,01,AK
2000,-6.1,-1.3,01,AK
2001,9.8,14.6,01,AK
2002,3,7.8,01,AK
2003,3.3,8.1,01,AK
2004,-7.5,-2.7,01,AK
2005,-.1,4.7,01,AK
2006,-10.9,-6.1,01,AK
