Delaware, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,1085,74
189601,1072,61
189701,1099,88
189801,948,-63
189901,1043,32
190001,990,-21
190101,1021,10
190201,1101,90
190301,1054,43
190401,1221,210
190501,1159,148
190601,840,-171
190701,956,-55
190801,1012,1
190901,941,-70
191001,1063,52
191101,910,-101
191201,1289,278
191301,730,-281
191401,937,-74
191501,951,-60
191601,864,-147
191701,997,-14
191801,1363,352
191901,930,-81
192001,1211,200
192101,942,-69
192201,1122,111
192301,970,-41
192401,982,-29
192501,1081,70
192601,1038,27
192701,1049,38
192801,995,-16
192901,1014,3
193001,981,-30
193101,980,-31
193201,663,-348
193301,776,-235
193401,902,-109
193501,1078,67
193601,1148,137
193701,733,-278
193801,999,-12
193901,982,-29
194001,1349,338
194101,1047,36
194201,1057,46
194301,1003,-8
194401,969,-42
194501,1172,161
194601,956,-55
194701,812,-199
194801,1217,206
194901,781,-230
195001,664,-347
195101,914,-97
195201,875,-136
195301,835,-176
195401,1014,3
195501,1049,38
195601,1060,49
195701,1109,98
195801,1067,56
195901,1044,33
196001,939,-72
196101,1208,197
196201,1023,12
196301,1114,103
196401,977,-34
196501,1091,80
196601,1107,96
196701,876,-135
196801,1141,130
196901,1072,61
197001,1236,225
197101,1146,135
197201,920,-91
197301,945,-66
197401,858,-153
197501,859,-152
197601,1105,94
197701,1348,337
197801,1134,123
197901,1016,5
198001,1003,-8
198101,1200,189
198201,1232,221
198301,962,-49
198401,1172,161
198501,1150,139
198601,1001,-10
198701,1050,39
198801,1149,138
198901,881,-130
199001,759,-252
199101,934,-77
199201,921,-90
199301,853,-158
199401,1189,178
199501,854,-157
199601,1041,30
199701,990,-21
199801,748,-263
199901,882,-129
200001,1010,-1
200101,1011,0
200201,799,-212
200301,1119,108
200401,1161,150
200501,982,-29
200601,735,-276
200701,797,-214
200801,897,-114
200901,1091,80
201001,996,-15
201101,1100,89
201201,827,-184
201301,887,-124
201401,1119,108
201501,1055,44
