New Hampshire, Heating Degree Days, December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189512,1229,-66
189612,1381,86
189712,1280,-15
189812,1359,64
189912,1195,-100
190012,1341,46
190112,1309,14
190212,1426,131
190312,1436,141
190412,1564,269
190512,1246,-49
190612,1470,175
190712,1189,-106
190812,1333,38
190912,1352,57
191012,1480,185
191112,1097,-198
191212,1147,-148
191312,1184,-111
191412,1391,96
191512,1275,-20
191612,1331,36
191712,1655,360
191812,1250,-45
191912,1462,167
192012,1222,-73
192112,1394,99
192212,1395,100
192312,1068,-227
192412,1411,116
192512,1296,1
192612,1478,183
192712,1207,-88
192812,1141,-154
192912,1325,30
193012,1276,-19
193112,1204,-91
193212,1176,-119
193312,1482,187
193412,1379,84
193512,1403,108
193612,1210,-85
193712,1342,47
193812,1233,-62
193912,1289,-6
194012,1284,-11
194112,1207,-88
194212,1414,119
194312,1451,156
194412,1384,89
194512,1434,139
194612,1270,-25
194712,1395,100
194812,1181,-114
194912,1198,-97
195012,1205,-90
195112,1287,-8
195212,1181,-114
195312,1065,-230
195412,1244,-51
195512,1496,201
195612,1205,-90
195712,1086,-209
195812,1547,252
195912,1179,-116
196012,1438,143
196112,1263,-32
196212,1372,77
196312,1527,232
196412,1298,3
196512,1220,-75
196612,1260,-35
196712,1233,-62
196812,1371,76
196912,1294,-1
197012,1428,133
197112,1251,-44
197212,1277,-18
197312,1129,-166
197412,1173,-122
197512,1328,33
197612,1490,195
197712,1341,46
197812,1289,-6
197912,1157,-138
198012,1463,168
198112,1247,-48
198212,1079,-216
198312,1323,28
198412,1113,-182
198512,1389,94
198612,1196,-99
198712,1159,-136
198812,1335,40
198912,1715,420
199012,1097,-198
199112,1254,-41
199212,1222,-73
199312,1213,-82
199412,1116,-179
199512,1358,63
199612,1066,-229
199712,1195,-100
199812,1043,-252
199912,1131,-164
200012,1366,71
200112,1033,-262
200212,1268,-27
200312,1214,-81
200412,1248,-47
200512,1268,-27
200612,997,-298
200712,1309,14
200812,1215,-80
200912,1255,-40
201012,1250,-45
201112,1058,-237
201212,1089,-206
201312,1290,-5
201412,1089,-206
201512,887,-408
