Oregon, Heating Degree Days, December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189512,856,12
189612,746,-98
189712,797,-47
189812,951,107
189912,816,-28
190012,736,-108
190112,832,-12
190212,859,15
190312,842,-2
190412,815,-29
190512,881,37
190612,773,-71
190712,779,-65
190812,922,78
190912,1021,177
191012,814,-30
191112,881,37
191212,866,22
191312,888,44
191412,1026,182
191512,826,-18
191612,959,115
191712,662,-182
191812,879,35
191912,1035,191
192012,810,-34
192112,926,82
192212,937,93
192312,873,29
192412,1061,217
192512,763,-81
192612,854,10
192712,957,113
192812,916,72
192912,752,-92
193012,900,56
193112,914,70
193212,999,155
193312,692,-152
193412,798,-46
193512,872,28
193612,816,-28
193712,765,-79
193812,818,-26
193912,697,-147
194012,783,-61
194112,798,-46
194212,782,-62
194312,871,27
194412,892,48
194512,828,-16
194612,809,-35
194712,806,-38
194812,981,137
194912,861,17
195012,650,-194
195112,927,83
195212,831,-13
195312,764,-80
195412,846,2
195512,822,-22
195612,832,-12
195712,757,-87
195812,672,-172
195912,842,-2
196012,846,2
196112,832,-12
196212,769,-75
196312,817,-27
196412,853,9
196512,891,47
196612,741,-103
196712,859,15
196812,885,41
196912,772,-72
197012,872,28
197112,891,47
197212,985,141
197312,724,-120
197412,764,-80
197512,766,-78
197612,862,18
197712,738,-106
197812,971,127
197912,726,-118
198012,744,-100
198112,756,-88
198212,836,-8
198312,947,103
198412,934,90
198512,974,130
198612,819,-25
198712,891,47
198812,831,-13
198912,789,-55
199012,1047,203
199112,784,-60
199212,906,62
199312,827,-17
199412,830,-14
199512,771,-73
199612,796,-48
199712,834,-10
199812,888,44
199912,773,-71
200012,797,-47
200112,827,-17
200212,754,-90
200312,792,-52
200412,756,-88
200512,834,-10
200612,818,-26
200712,867,23
200812,915,71
200912,944,100
201012,791,-53
201112,872,28
201212,846,2
201312,940,96
201412,719,-125
201512,794,-50
