New Hampshire, Heating Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,197,-34
189609,269,38
189709,261,30
189809,173,-58
189909,287,56
190009,181,-50
190109,197,-34
190209,231,0
190309,204,-27
190409,292,61
190509,272,41
190609,179,-52
190709,229,-2
190809,156,-75
190909,254,23
191009,245,14
191109,282,51
191209,273,42
191309,273,42
191409,250,19
191509,151,-80
191609,246,15
191709,329,98
191809,338,107
191909,233,2
192009,196,-35
192109,163,-68
192209,204,-27
192309,191,-40
192409,302,71
192509,235,4
192609,266,35
192709,240,9
192809,312,81
192909,192,-39
193009,153,-78
193109,146,-85
193209,204,-27
193309,201,-30
193409,143,-88
193509,294,63
193609,223,-8
193709,236,5
193809,306,75
193909,221,-10
194009,275,44
194109,197,-34
194209,203,-28
194309,278,47
194409,191,-40
194509,160,-71
194609,171,-60
194709,198,-33
194809,189,-42
194909,264,33
195009,319,88
195109,224,-7
195209,181,-50
195309,193,-38
195409,279,48
195509,250,19
195609,342,111
195709,181,-50
195809,221,-10
195909,148,-83
196009,217,-14
196109,70,-161
196209,290,59
196309,316,85
196409,301,70
196509,223,-8
196609,312,81
196709,230,-1
196809,169,-62
196909,204,-27
197009,202,-29
197109,145,-86
197209,232,1
197309,247,16
197409,245,14
197509,290,59
197609,273,42
197709,252,21
197809,316,85
197909,241,10
198009,221,-10
198109,254,23
198209,208,-23
198309,144,-87
198409,283,52
198509,204,-27
198609,294,63
198709,241,10
198809,270,39
198909,202,-29
199009,221,-10
199109,275,44
199209,223,-8
199309,231,0
199409,261,30
199509,295,64
199609,188,-43
199709,235,4
199809,168,-63
199909,116,-115
200009,238,7
200109,181,-50
200209,113,-118
200309,175,-56
200409,176,-55
200509,117,-114
200609,221,-10
200709,161,-70
200809,178,-53
200909,249,18
201009,131,-100
201109,117,-114
201209,198,-33
201309,202,-29
201409,194,-37
201509,88,-143
