Oklahoma, Heating Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,114,-74
189604,78,-110
189704,192,4
189804,225,37
189904,207,19
190004,157,-31
190104,242,54
190204,166,-22
190304,178,-10
190404,231,43
190504,209,21
190604,133,-55
190704,318,130
190804,181,-7
190904,195,7
191004,171,-17
191104,183,-5
191204,189,1
191304,156,-32
191404,208,20
191504,126,-62
191604,281,93
191704,222,34
191804,279,91
191904,185,-3
192004,258,70
192104,211,23
192204,170,-18
192304,185,-3
192404,179,-9
192504,74,-114
192604,294,106
192704,113,-75
192804,261,73
192904,120,-68
193004,93,-95
193104,272,84
193204,122,-66
193304,166,-22
193404,149,-39
193504,236,48
193604,174,-14
193704,175,-13
193804,193,5
193904,198,10
194004,198,10
194104,155,-33
194204,134,-54
194304,110,-78
194404,225,37
194504,223,35
194604,96,-92
194704,204,16
194804,76,-112
194904,213,25
195004,213,25
195104,242,54
195204,265,77
195304,272,84
195404,74,-114
195504,95,-93
195604,219,31
195704,242,54
195804,240,52
195904,190,2
196004,136,-52
196104,226,38
196204,231,43
196304,102,-86
196404,109,-79
196504,98,-90
196604,221,33
196704,95,-93
196804,201,13
196904,162,-26
197004,171,-17
197104,170,-18
197204,123,-65
197304,281,93
197404,154,-34
197504,192,4
197604,156,-32
197704,135,-53
197804,125,-63
197904,213,25
198004,229,41
198104,76,-112
198204,255,67
198304,349,161
198404,267,79
198504,134,-54
198604,136,-52
198704,170,-18
198804,220,32
198904,141,-47
199004,218,30
199104,148,-40
199204,175,-13
199304,273,85
199404,178,-10
199504,229,41
199604,210,22
199704,308,120
199804,243,55
199904,163,-25
200004,205,17
200104,102,-86
200204,146,-42
200304,155,-33
200404,173,-15
200504,174,-14
200604,69,-119
200704,275,87
200804,224,36
200904,211,23
201004,134,-54
201104,131,-57
201204,95,-93
201304,304,116
201404,185,-3
201504,139,-49
