Wisconsin, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,1708,176
189601,1422,-110
189701,1506,-26
189801,1373,-159
189901,1577,45
190001,1343,-189
190101,1474,-58
190201,1450,-82
190301,1510,-22
190401,1750,218
190501,1736,204
190601,1322,-210
190701,1546,14
190801,1392,-140
190901,1442,-90
191001,1545,13
191101,1504,-28
191201,2063,531
191301,1473,-59
191401,1289,-243
191501,1609,77
191601,1454,-78
191701,1665,133
191801,1889,357
191901,1332,-200
192001,1759,227
192101,1293,-239
192201,1568,36
192301,1424,-108
192401,1770,238
192501,1531,-1
192601,1487,-45
192701,1574,42
192801,1448,-84
192901,1866,334
193001,1715,183
193101,1281,-251
193201,1270,-262
193301,1188,-344
193401,1274,-258
193501,1591,59
193601,1725,193
193701,1569,37
193801,1538,6
193901,1316,-216
194001,1733,201
194101,1405,-127
194201,1478,-54
194301,1616,84
194401,1242,-290
194501,1623,91
194601,1424,-108
194701,1364,-168
194801,1680,148
194901,1421,-111
195001,1476,-56
195101,1627,95
195201,1475,-57
195301,1375,-157
195401,1506,-26
195501,1513,-19
195601,1444,-88
195701,1695,163
195801,1429,-103
195901,1726,194
196001,1397,-135
196101,1524,-8
196201,1673,141
196301,1841,309
196401,1316,-216
196501,1574,42
196601,1733,201
196701,1408,-124
196801,1484,-48
196901,1594,62
197001,1740,208
197101,1722,190
197201,1658,126
197301,1361,-171
197401,1489,-43
197501,1420,-112
197601,1611,79
197701,1924,392
197801,1699,167
197901,1853,321
198001,1502,-30
198101,1482,-50
198201,1815,283
198301,1344,-188
198401,1589,57
198501,1651,119
198601,1488,-44
198701,1350,-182
198801,1618,86
198901,1240,-292
199001,1182,-350
199101,1597,65
199201,1304,-228
199301,1432,-100
199401,1788,256
199501,1435,-97
199601,1575,43
199701,1573,41
199801,1296,-236
199901,1554,22
200001,1440,-92
200101,1371,-161
200201,1195,-337
200301,1516,-16
200401,1591,59
200501,1470,-62
200601,1078,-454
200701,1300,-232
200801,1472,-60
200901,1726,194
201001,1471,-61
201101,1542,10
201201,1289,-243
201301,1405,-127
201401,1746,214
201501,1468,-64
