Missouri, Heating Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,244,-95
189604,158,-181
189704,356,17
189804,404,65
189904,363,24
190004,296,-43
190104,381,42
190204,375,36
190304,319,-20
190404,519,180
190504,350,11
190604,239,-100
190704,557,218
190804,326,-13
190904,382,43
191004,339,0
191104,387,48
191204,325,-14
191304,324,-15
191404,348,9
191504,182,-157
191604,396,57
191704,409,70
191804,469,130
191904,338,-1
192004,483,144
192104,310,-29
192204,301,-38
192304,365,26
192404,295,-44
192504,189,-150
192604,505,166
192704,282,-57
192804,449,110
192904,284,-55
193004,233,-106
193104,351,12
193204,282,-57
193304,355,16
193404,310,-29
193504,431,92
193604,408,69
193704,372,33
193804,313,-26
193904,394,55
194004,381,42
194104,243,-96
194204,240,-99
194304,335,-4
194404,452,113
194504,330,-9
194604,236,-103
194704,356,17
194804,208,-131
194904,374,35
195004,462,123
195104,454,115
195204,370,31
195304,458,119
195404,182,-157
195504,176,-163
195604,386,47
195704,337,-2
195804,347,8
195904,332,-7
196004,273,-66
196104,459,120
196204,391,52
196304,239,-100
196404,259,-80
196504,256,-83
196604,417,78
196704,244,-95
196804,318,-21
196904,300,-39
197004,297,-42
197104,298,-41
197204,316,-23
197304,400,61
197404,272,-67
197504,358,19
197604,270,-69
197704,201,-138
197804,292,-47
197904,393,54
198004,362,23
198104,153,-186
198204,437,98
198304,514,175
198404,400,61
198504,224,-115
198604,233,-106
198704,290,-49
198804,327,-12
198904,299,-40
199004,363,24
199104,246,-93
199204,333,-6
199304,424,85
199404,312,-27
199504,370,31
199604,396,57
199704,465,126
199804,350,11
199904,270,-69
200004,336,-3
200104,181,-158
200204,268,-71
200304,278,-61
200404,285,-54
200504,265,-74
200604,179,-160
200704,393,54
200804,395,56
200904,370,31
201004,179,-160
201104,280,-59
201204,224,-115
201304,410,71
201404,324,-15
201504,247,-92
