Vermont, Heating Degree Days, February
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189502,1492,159
189602,1335,2
189702,1309,-24
189802,1217,-116
189902,1391,58
190002,1351,18
190102,1515,182
190202,1342,9
190302,1270,-63
190402,1535,202
190502,1528,195
190602,1343,10
190702,1561,228
190802,1463,130
190902,1283,-50
191002,1395,62
191102,1425,92
191202,1438,105
191302,1397,64
191402,1568,235
191502,1199,-134
191602,1419,86
191702,1483,150
191802,1454,121
191902,1261,-72
192002,1389,56
192102,1248,-85
192202,1301,-32
192302,1556,223
192402,1518,185
192502,1138,-195
192602,1438,105
192702,1226,-107
192802,1330,-3
192902,1340,7
193002,1263,-70
193102,1335,2
193202,1265,-68
193302,1191,-142
193402,1700,367
193502,1368,35
193602,1513,180
193702,1182,-151
193802,1238,-95
193902,1292,-41
194002,1377,44
194102,1312,-21
194202,1401,68
194302,1317,-16
194402,1373,40
194502,1287,-46
194602,1413,80
194702,1372,39
194802,1450,117
194902,1178,-155
195002,1379,46
195102,1200,-133
195202,1206,-127
195302,1152,-181
195402,1117,-216
195502,1279,-54
195602,1226,-107
195702,1172,-161
195802,1470,137
195902,1464,131
196002,1164,-169
196102,1281,-52
196202,1428,95
196302,1489,156
196402,1334,1
196502,1338,5
196602,1309,-24
196702,1471,138
196802,1449,116
196902,1266,-67
197002,1307,-26
197102,1274,-59
197202,1387,54
197302,1364,31
197402,1371,38
197502,1268,-65
197602,1164,-169
197702,1266,-67
197802,1524,191
197902,1575,242
198002,1378,45
198102,1029,-304
198202,1307,-26
198302,1221,-112
198402,1046,-287
198502,1227,-106
198602,1372,39
198702,1410,77
198802,1285,-48
198902,1312,-21
199002,1217,-116
199102,1135,-198
199202,1272,-61
199302,1536,203
199402,1448,115
199502,1355,22
199602,1274,-59
199702,1143,-190
199802,1072,-261
199902,1172,-161
200002,1214,-119
200102,1239,-94
200202,1118,-215
200302,1400,67
200402,1310,-23
200502,1215,-118
200602,1204,-129
200702,1429,96
200802,1221,-112
200902,1217,-116
201002,1146,-187
201102,1307,-26
201202,1072,-261
201302,1196,-137
201402,1334,1
201502,1648,315
