Oregon, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,945,62
189601,807,-76
189701,896,13
189801,924,41
189901,817,-66
190001,770,-113
190101,898,15
190201,918,35
190301,829,-54
190401,852,-31
190501,862,-21
190601,819,-64
190701,1022,139
190801,824,-59
190901,1014,131
191001,982,99
191101,959,76
191201,842,-41
191301,979,96
191401,766,-117
191501,915,32
191601,1153,270
191701,965,82
191801,749,-134
191901,878,-5
192001,896,13
192101,875,-8
192201,1054,171
192301,849,-34
192401,942,59
192501,779,-104
192601,851,-32
192701,887,4
192801,872,-11
192901,1048,165
193001,1227,344
193101,790,-93
193201,929,46
193301,933,50
193401,700,-183
193501,912,29
193601,811,-72
193701,1215,332
193801,849,-34
193901,821,-62
194001,835,-48
194101,788,-95
194201,957,74
194301,1012,129
194401,891,8
194501,811,-72
194601,864,-19
194701,969,86
194801,877,-6
194901,1224,341
195001,1154,271
195101,890,7
195201,958,75
195301,667,-216
195401,862,-21
195501,906,23
195601,836,-47
195701,1097,214
195801,768,-115
195901,773,-110
196001,944,61
196101,739,-144
196201,937,54
196301,1006,123
196401,825,-58
196501,835,-48
196601,843,-40
196701,757,-126
196801,848,-35
196901,1006,123
197001,795,-88
197101,859,-24
197201,910,27
197301,904,21
197401,939,56
197501,799,-84
197601,796,-87
197701,916,33
197801,760,-123
197901,1085,202
198001,932,49
198101,744,-139
198201,918,35
198301,744,-139
198401,805,-78
198501,950,67
198601,729,-154
198701,861,-22
198801,872,-11
198901,835,-48
199001,789,-94
199101,853,-30
199201,736,-147
199301,972,89
199401,722,-161
199501,742,-141
199601,810,-73
199701,818,-65
199801,747,-136
199901,787,-96
200001,856,-27
200101,803,-80
200201,837,-46
200301,654,-229
200401,831,-52
200501,777,-106
200601,747,-136
200701,895,12
200801,939,56
200901,811,-72
201001,681,-202
201101,779,-104
201201,796,-87
201301,890,7
201401,740,-143
201501,673,-210
