Utah, Heating Degree Days, December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189512,1426,215
189612,1096,-115
189712,1392,181
189812,1449,238
189912,1335,124
190012,1134,-77
190112,1160,-51
190212,1217,6
190312,1269,58
190412,1194,-17
190512,1413,202
190612,1047,-164
190712,1132,-79
190812,1309,98
190912,1527,316
191012,1135,-76
191112,1351,140
191212,1310,99
191312,1290,79
191412,1354,143
191512,1176,-35
191612,1341,130
191712,912,-299
191812,1250,39
191912,1395,184
192012,1212,1
192112,1038,-173
192212,1140,-71
192312,1266,55
192412,1426,215
192512,1102,-109
192612,1270,59
192712,1332,121
192812,1338,127
192912,1042,-169
193012,1508,297
193112,1400,189
193212,1489,278
193312,1009,-202
193412,1157,-54
193512,1190,-21
193612,1147,-64
193712,1050,-161
193812,1099,-112
193912,999,-212
194012,1136,-75
194112,1088,-123
194212,1107,-104
194312,1140,-71
194412,1182,-29
194512,1257,46
194612,1017,-194
194712,1236,25
194812,1304,93
194912,1240,29
195012,1034,-177
195112,1322,111
195212,1180,-31
195312,1247,36
195412,1218,7
195512,1038,-173
195612,1232,21
195712,1100,-111
195812,1001,-210
195912,1168,-43
196012,1197,-14
196112,1258,47
196212,1146,-65
196312,1284,73
196412,1155,-56
196512,1178,-33
196612,1295,84
196712,1382,171
196812,1265,54
196912,1111,-100
197012,1231,20
197112,1348,137
197212,1406,195
197312,1142,-69
197412,1247,36
197512,1157,-54
197612,1186,-25
197712,1016,-195
197812,1385,174
197912,1135,-76
198012,1040,-171
198112,1038,-173
198212,1240,29
198312,1246,35
198412,1277,66
198512,1331,120
198612,1164,-47
198712,1245,34
198812,1281,70
198912,1171,-40
199012,1453,242
199112,1214,3
199212,1322,111
199312,1192,-19
199412,1146,-65
199512,1062,-149
199612,1135,-76
199712,1258,47
199812,1231,20
199912,1168,-43
200012,1133,-78
200112,1296,85
200212,1125,-86
200312,1092,-119
200412,1115,-96
200512,1167,-44
200612,1171,-40
200712,1282,71
200812,1212,1
200912,1367,156
201012,1060,-151
201112,1211,0
201212,1182,-29
201312,1320,109
201412,1059,-152
201512,1220,9
