North Carolina, Heating Degree Days, January
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189501,857,79
189601,842,64
189701,894,116
189801,677,-101
189901,783,5
190001,790,12
190101,791,13
190201,882,104
190301,812,34
190401,933,155
190501,931,153
190601,693,-85
190701,581,-197
190801,842,64
190901,653,-125
191001,787,9
191101,659,-119
191201,985,207
191301,544,-234
191401,713,-65
191501,784,6
191601,609,-169
191701,677,-101
191801,1070,292
191901,719,-59
192001,803,25
192101,736,-42
192201,820,42
192301,694,-84
192401,825,47
192501,800,22
192601,816,38
192701,775,-3
192801,779,1
192901,739,-39
193001,713,-65
193101,786,8
193201,503,-275
193301,567,-211
193401,675,-103
193501,763,-15
193601,909,131
193701,489,-289
193801,778,0
193901,691,-87
194001,1123,345
194101,794,16
194201,818,40
194301,716,-62
194401,778,0
194501,817,39
194601,741,-37
194701,625,-153
194801,955,177
194901,519,-259
195001,448,-330
195101,737,-41
195201,602,-176
195301,630,-148
195401,743,-35
195501,823,45
195601,854,76
195701,742,-36
195801,937,159
195901,817,39
196001,756,-22
196101,908,130
196201,832,54
196301,899,121
196401,798,20
196501,774,-4
196601,928,150
196701,707,-71
196801,914,136
196901,884,106
197001,977,199
197101,834,56
197201,644,-134
197301,790,12
197401,490,-288
197501,662,-116
197601,862,84
197701,1136,358
197801,982,204
197901,864,86
198001,763,-15
198101,961,183
198201,955,177
198301,840,62
198401,877,99
198501,955,177
198601,832,54
198701,836,58
198801,953,175
198901,652,-126
199001,581,-197
199101,730,-48
199201,712,-66
199301,675,-103
199401,892,114
199501,744,-34
199601,834,56
199701,761,-17
199801,648,-130
199901,625,-153
200001,809,31
200101,794,16
200201,699,-79
200301,881,103
200401,837,59
200501,682,-96
200601,577,-201
200701,649,-129
200801,777,-1
200901,814,36
201001,875,97
201101,888,110
201201,661,-117
201301,652,-126
201401,920,142
201501,794,16
