New York, Heating Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,608,33
189604,503,-72
189704,565,-10
189804,653,78
189904,568,-7
190004,573,-2
190104,600,25
190204,565,-10
190304,566,-9
190404,688,113
190504,605,30
190604,567,-8
190704,726,151
190804,598,23
190904,618,43
191004,470,-105
191104,664,89
191204,608,33
191304,529,-46
191404,672,97
191504,451,-124
191604,630,55
191704,644,69
191804,593,18
191904,625,50
192004,670,95
192104,393,-182
192204,566,-9
192304,605,30
192404,645,70
192504,542,-33
192604,729,154
192704,628,53
192804,664,89
192904,574,-1
193004,636,61
193104,551,-24
193204,648,73
193304,565,-10
193404,589,14
193504,616,41
193604,659,84
193704,621,46
193804,502,-73
193904,670,95
194004,702,127
194104,429,-146
194204,484,-91
194304,739,164
194404,676,101
194504,430,-145
194604,604,29
194704,608,33
194804,548,-27
194904,523,-52
195004,671,96
195104,531,-44
195204,468,-107
195304,556,-19
195404,508,-67
195504,478,-97
195604,669,94
195704,502,-73
195804,513,-62
195904,521,-54
196004,480,-95
196104,646,71
196204,558,-17
196304,562,-13
196404,599,24
196504,657,82
196604,653,78
196704,604,29
196804,462,-113
196904,503,-72
197004,563,-12
197104,658,83
197204,692,117
197304,510,-65
197404,488,-87
197504,704,129
197604,472,-103
197704,514,-61
197804,614,39
197904,584,9
198004,526,-49
198104,481,-94
198204,630,55
198304,573,-2
198404,564,-11
198504,487,-88
198604,482,-93
198704,479,-96
198804,571,-4
198904,613,38
199004,518,-57
199104,443,-132
199204,618,43
199304,534,-41
199404,488,-87
199504,611,36
199604,575,0
199704,598,23
199804,490,-85
199904,520,-55
200004,573,-2
200104,512,-63
200204,459,-116
200304,608,33
200404,514,-61
200504,479,-96
200604,471,-104
200704,604,29
200804,434,-141
200904,481,-94
201004,382,-193
201104,497,-78
201204,489,-86
201304,534,-41
201404,546,-29
201504,536,-39
