North Dakota, Heating Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189504,485,-229
189604,758,44
189704,730,16
189804,703,-11
189904,819,105
190004,477,-237
190104,623,-91
190204,754,40
190304,688,-26
190404,838,124
190504,753,39
190604,526,-188
190704,993,279
190804,641,-73
190904,923,209
191004,542,-172
191104,712,-2
191204,628,-86
191304,562,-152
191404,731,17
191504,464,-250
191604,776,62
191704,844,130
191804,721,7
191904,693,-21
192004,986,272
192104,714,0
192204,688,-26
192304,794,80
192404,782,68
192504,532,-182
192604,683,-31
192704,715,1
192804,872,158
192904,717,3
193004,553,-161
193104,644,-70
193204,647,-67
193304,763,49
193404,657,-57
193504,816,102
193604,896,182
193704,753,39
193804,673,-41
193904,725,11
194004,823,109
194104,625,-89
194204,602,-112
194304,614,-100
194404,743,29
194504,815,101
194604,520,-194
194704,764,50
194804,744,30
194904,552,-162
195004,995,281
195104,798,84
195204,522,-192
195304,869,155
195404,782,68
195504,515,-199
195604,917,203
195704,750,36
195804,646,-68
195904,713,-1
196004,732,18
196104,844,130
196204,730,16
196304,688,-26
196404,647,-67
196504,752,38
196604,872,158
196704,829,115
196804,696,-18
196904,618,-96
197004,833,119
197104,669,-45
197204,775,61
197304,725,11
197404,726,12
197504,939,225
197604,582,-132
197704,491,-223
197804,713,-1
197904,957,243
198004,505,-209
198104,568,-146
198204,787,73
198304,788,74
198404,649,-65
198504,561,-153
198604,704,-10
198704,454,-260
198804,631,-83
198904,702,-12
199004,687,-27
199104,583,-131
199204,751,37
199304,711,-3
199404,699,-15
199504,849,135
199604,866,152
199704,858,144
199804,538,-176
199904,664,-50
200004,702,-12
200104,669,-45
200204,801,87
200304,610,-104
200404,653,-61
200504,543,-171
200604,499,-215
200704,727,13
200804,752,38
200904,769,55
201004,522,-192
201104,767,53
201204,576,-138
201304,1016,302
201404,806,92
201504,614,-100
