Texas, Heating Degree Days, February
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189502,686,300
189602,382,-4
189702,326,-60
189802,319,-67
189902,661,275
190002,434,48
190102,465,79
190202,455,69
190302,502,116
190402,292,-94
190502,695,309
190602,446,60
190702,317,-69
190802,386,0
190902,316,-70
191002,501,115
191102,280,-106
191202,499,113
191302,487,101
191402,478,92
191502,343,-43
191602,354,-32
191702,350,-36
191802,345,-41
191902,434,48
192002,346,-40
192102,337,-49
192202,314,-72
192302,440,54
192402,437,51
192502,265,-121
192602,285,-101
192702,254,-132
192802,395,9
192902,589,203
193002,248,-138
193102,325,-61
193202,226,-160
193302,447,61
193402,390,4
193502,378,-8
193602,533,147
193702,376,-10
193802,270,-116
193902,434,48
194002,418,32
194102,454,68
194202,434,48
194302,299,-87
194402,295,-91
194502,339,-47
194602,340,-46
194702,534,148
194802,436,50
194902,359,-27
195002,289,-97
195102,392,6
195202,296,-90
195302,388,2
195402,247,-139
195502,402,16
195602,358,-28
195702,239,-147
195802,513,127
195902,407,21
196002,536,150
196102,366,-20
196202,236,-150
196302,450,64
196402,522,136
196502,458,72
196602,495,109
196702,428,42
196802,519,133
196902,384,-2
197002,393,7
197102,366,-20
197202,358,-28
197302,464,78
197402,338,-48
197502,415,29
197602,226,-160
197702,375,-11
197802,640,254
197902,504,118
198002,439,53
198102,384,-2
198202,466,80
198302,411,25
198402,356,-30
198502,493,107
198602,288,-98
198702,349,-37
198802,416,30
198902,495,109
199002,278,-108
199102,313,-73
199202,288,-98
199302,379,-7
199402,392,6
199502,302,-84
199602,304,-82
199702,371,-15
199802,336,-50
199902,217,-169
200002,212,-174
200102,312,-74
200202,449,63
200302,417,31
200402,441,55
200502,310,-76
200602,369,-17
200702,388,2
200802,288,-98
200902,235,-151
201002,545,159
201102,383,-3
201202,306,-80
201302,309,-77
201402,417,31
201502,432,46
