Pennsylvania, Heating Degree Days, March
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189503,982,130
189603,1087,235
189703,826,-26
189803,672,-180
189903,907,55
190003,1041,189
190103,873,21
190203,763,-89
190303,606,-246
190403,925,73
190503,836,-16
190603,1058,206
190703,769,-83
190803,778,-74
190903,942,90
191003,665,-187
191103,947,95
191203,973,121
191303,721,-131
191403,1000,148
191503,1020,168
191603,1091,239
191703,883,31
191803,755,-97
191903,756,-96
192003,837,-15
192103,553,-299
192203,816,-36
192303,895,43
192403,920,68
192503,785,-67
192603,1025,173
192703,760,-92
192803,908,56
192903,699,-153
193003,867,15
193103,922,70
193203,1005,153
193303,920,68
193403,982,130
193503,730,-122
193603,729,-123
193703,985,133
193803,736,-116
193903,859,7
194003,1041,189
194103,1062,210
194203,799,-53
194303,883,31
194403,956,104
194503,542,-310
194603,587,-265
194703,1016,164
194803,776,-76
194903,817,-35
195003,995,143
195103,847,-5
195203,896,44
195303,793,-59
195403,869,17
195503,815,-37
195603,949,97
195703,847,-5
195803,927,75
195903,894,42
196003,1181,329
196103,818,-34
196203,897,45
196303,798,-54
196403,821,-31
196503,960,108
196603,804,-48
196703,904,52
196803,771,-81
196903,943,91
197003,979,127
197103,940,88
197203,919,67
197303,652,-200
197403,810,-42
197503,911,59
197603,706,-146
197703,682,-170
197803,965,113
197903,740,-112
198003,920,68
198103,908,56
198203,875,23
198303,773,-79
198403,1033,181
198503,767,-85
198603,788,-64
198703,751,-101
198803,803,-49
198903,835,-17
199003,718,-134
199103,744,-108
199203,891,39
199303,945,93
199403,912,60
199503,731,-121
199603,967,115
199703,793,-59
199803,738,-114
199903,885,33
200003,648,-204
200103,919,67
200203,769,-83
200303,802,-50
200403,740,-112
200503,949,97
200603,796,-56
200703,801,-51
200803,824,-28
200903,784,-68
201003,656,-196
201103,822,-30
201203,509,-343
201303,903,51
201403,1008,156
201503,974,122
