Maryland, Heating Degree Days, December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189512,885,-42
189612,973,46
189712,885,-42
189812,970,43
189912,941,14
190012,946,19
190112,1023,96
190212,1011,84
190312,1087,160
190412,1140,213
190512,911,-16
190612,945,18
190712,888,-39
190812,927,0
190912,1087,160
191012,1158,231
191112,807,-120
191212,866,-61
191312,844,-83
191412,1062,135
191512,1030,103
191612,1013,86
191712,1219,292
191812,807,-120
191912,1098,171
192012,874,-53
192112,931,4
192212,922,-5
192312,692,-235
192412,950,23
192512,941,14
192612,1056,129
192712,884,-43
192812,890,-37
192912,907,-20
193012,994,67
193112,712,-215
193212,876,-51
193312,914,-13
193412,940,13
193512,1098,171
193612,868,-59
193712,960,33
193812,921,-6
193912,871,-56
194012,794,-133
194112,814,-113
194212,1037,110
194312,965,38
194412,1038,111
194512,1090,163
194612,820,-107
194712,989,62
194812,866,-61
194912,841,-86
195012,1025,98
195112,873,-54
195212,892,-35
195312,833,-94
195412,948,21
195512,1075,148
195612,700,-227
195712,835,-92
195812,1123,196
195912,834,-93
196012,1154,227
196112,983,56
196212,1084,157
196312,1135,208
196412,851,-76
196512,832,-95
196612,951,24
196712,886,-41
196812,988,61
196912,1016,89
197012,905,-22
197112,707,-220
197212,782,-145
197312,864,-63
197412,835,-92
197512,906,-21
197612,1061,134
197712,979,52
197812,839,-88
197912,825,-102
198012,955,28
198112,979,52
198212,717,-210
198312,1017,90
198412,669,-258
198512,992,65
198612,871,-56
198712,825,-102
198812,914,-13
198912,1261,334
199012,743,-184
199112,796,-131
199212,877,-50
199312,941,14
199412,750,-177
199512,1023,96
199612,799,-128
199712,845,-82
199812,718,-209
199912,809,-118
200012,1112,185
200112,698,-229
200212,959,32
200312,887,-40
200412,856,-71
200512,976,49
200612,692,-235
200712,848,-79
200812,837,-90
200912,928,1
201012,1042,115
201112,726,-201
201212,715,-212
201312,826,-101
201412,788,-139
201512,520,-407
