New York, Heating Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189506,17,-34
189606,63,12
189706,104,53
189806,35,-16
189906,22,-29
190006,30,-21
190106,29,-22
190206,90,39
190306,149,98
190406,55,4
190506,64,13
190606,35,-16
190706,95,44
190806,31,-20
190906,39,-12
191006,80,29
191106,59,8
191206,79,28
191306,55,4
191406,68,17
191506,81,30
191606,125,74
191706,66,15
191806,105,54
191906,19,-32
192006,63,12
192106,36,-15
192206,34,-17
192306,29,-22
192406,83,32
192506,16,-35
192606,123,72
192706,111,60
192806,96,45
192906,46,-5
193006,21,-30
193106,42,-9
193206,52,1
193306,22,-29
193406,18,-33
193506,56,5
193606,46,-5
193706,39,-12
193806,47,-4
193906,37,-14
194006,66,15
194106,34,-17
194206,37,-14
194306,8,-43
194406,33,-18
194506,58,7
194606,65,14
194706,70,19
194806,63,12
194906,9,-42
195006,55,4
195106,55,4
195206,25,-26
195306,30,-21
195406,32,-19
195506,52,1
195606,37,-14
195706,12,-39
195806,118,67
195906,38,-13
196006,45,-6
196106,48,-3
196206,36,-15
196306,41,-10
196406,53,2
196506,61,10
196606,35,-16
196706,21,-30
196806,61,10
196906,45,-6
197006,51,0
197106,32,-19
197206,85,34
197306,18,-33
197406,60,9
197506,38,-13
197606,18,-33
197706,70,19
197806,51,0
197906,64,13
198006,83,32
198106,35,-16
198206,93,42
198306,31,-20
198406,26,-25
198506,95,44
198606,59,8
198706,26,-25
198806,53,2
198906,30,-21
199006,38,-13
199106,21,-30
199206,71,20
199306,47,-4
199406,18,-33
199506,26,-25
199606,28,-23
199706,34,-17
199806,48,-3
199906,14,-37
200006,42,-9
200106,27,-24
200206,34,-17
200306,59,8
200406,56,5
200506,7,-44
200606,31,-20
200706,24,-27
200806,13,-38
200906,64,13
201006,21,-30
201106,26,-25
201206,30,-21
201306,32,-19
201406,26,-25
201506,45,-6
