Indiana, Heating Degree Days, September
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Date,Value,Anomaly
189509,32,-48
189609,131,51
189709,40,-40
189809,37,-43
189909,86,6
190009,37,-43
190109,80,0
190209,124,44
190309,81,1
190409,73,-7
190509,67,-13
190609,34,-46
190709,102,22
190809,32,-48
190909,126,46
191009,77,-3
191109,47,-33
191209,58,-22
191309,86,6
191409,86,6
191509,56,-24
191609,97,17
191709,114,34
191809,231,151
191909,42,-38
192009,50,-30
192109,25,-55
192209,32,-48
192309,74,-6
192409,166,86
192509,16,-64
192609,66,-14
192709,30,-50
192809,148,68
192909,85,5
193009,57,-23
193109,21,-59
193209,92,12
193309,21,-59
193409,76,-4
193509,84,4
193609,33,-47
193709,109,29
193809,59,-21
193909,23,-57
194009,104,24
194109,30,-50
194209,106,26
194309,142,62
194409,73,-7
194509,60,-20
194609,75,-5
194709,65,-15
194809,56,-24
194909,183,103
195009,104,24
195109,120,40
195209,89,9
195309,66,-14
195409,40,-40
195509,51,-29
195609,107,27
195709,99,19
195809,84,4
195909,45,-35
196009,32,-48
196109,30,-50
196209,130,50
196309,95,15
196409,78,-2
196509,63,-17
196609,118,38
196709,126,46
196809,84,4
196909,92,12
197009,44,-36
197109,41,-39
197209,62,-18
197309,46,-34
197409,162,82
197509,156,76
197609,127,47
197709,52,-28
197809,33,-47
197909,89,9
198009,56,-24
198109,105,25
198209,102,22
198309,65,-15
198409,107,27
198509,67,-13
198609,41,-39
198709,62,-18
198809,78,-2
198909,118,38
199009,68,-12
199109,82,2
199209,107,27
199309,152,72
199409,93,13
199509,115,35
199609,101,21
199709,89,9
199809,29,-51
199909,76,-4
200009,94,14
200109,109,29
200209,34,-46
200309,111,31
200409,53,-27
200509,32,-48
200609,126,46
200709,36,-44
200809,50,-30
200909,78,-2
201009,55,-25
201109,108,28
201209,100,20
201309,59,-21
201409,102,22
201509,35,-45
